#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480526.1         -            238 12899at5820          -            214   1.2e-69  232.9  20.1   1   1   1.8e-72   2.7e-69  231.7  20.1    21   214    25   237    17   237 0.75 | transcript=PVW1_070021900_t1 | gene=PVW1_070021900 | organism=Plasmodium_vivax_PvW1 | gene_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV57] | transcript_product=HIT-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV57] | location=CAJZCX010000011:779456-780172(+) | protein_length=238 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12899at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:10 2026
# [ok]
