#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9482742.1         -            191 12974at5820          -            164   7.3e-78  258.4  12.4   1   1   1.7e-80   8.4e-78  258.2  12.4    12   163    31   190    17   191 0.93 | transcript=PVW1_040026400_t1 | gene=PVW1_040026400 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8B9] | location=CAJZCX010000013:907678-908855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476993.1         -           1017 12974at5820          -            164   2.3e-15   55.2  42.1   1   4       3.9     2e+03   -3.1   0.7    11    50    56    97    47   135 0.58 | transcript=PVW1_090035100_t1 | gene=PVW1_090035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1325338-1328391(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476993.1         -           1017 12974at5820          -            164   2.3e-15   55.2  42.1   2   4   4.4e-09   2.2e-06   26.0   4.8    15    90   169   246   155   250 0.87 | transcript=PVW1_090035100_t1 | gene=PVW1_090035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1325338-1328391(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476993.1         -           1017 12974at5820          -            164   2.3e-15   55.2  42.1   3   4   9.5e-09   4.8e-06   24.9   6.1    47   104   249   305   244   316 0.85 | transcript=PVW1_090035100_t1 | gene=PVW1_090035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1325338-1328391(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476993.1         -           1017 12974at5820          -            164   2.3e-15   55.2  42.1   4   4   2.3e-08   1.2e-05   23.6   6.6    45    96   317   369   311   376 0.85 | transcript=PVW1_090035100_t1 | gene=PVW1_090035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1325338-1328391(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473683.1         -            326 12974at5820          -            164   5.6e-13   47.4  32.9   1   3   5.6e-09   2.8e-06   25.6   5.4    46   103    45   101    38   103 0.89 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473683.1         -            326 12974at5820          -            164   5.6e-13   47.4  32.9   2   3   7.8e-12   3.9e-09   34.9  11.3    18    97    61   142    56   149 0.88 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473683.1         -            326 12974at5820          -            164   5.6e-13   47.4  32.9   3   3     6e-05      0.03   12.5  12.4    40    88   177   228   147   253 0.70 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476191.1         -            798 12974at5820          -            164   9.6e-11   40.1  15.1   1   2       3.3   1.7e+03   -2.9   0.2   114   128    36    50    20    54 0.54 | transcript=PVW1_130043100_t1 | gene=PVW1_130043100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1670537-1673316(+) | protein_length=798 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476191.1         -            798 12974at5820          -            164   9.6e-11   40.1  15.1   2   2   1.9e-13   9.6e-11   40.1  15.1     7   127    72   196    66   231 0.80 | transcript=PVW1_130043100_t1 | gene=PVW1_130043100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1670537-1673316(+) | protein_length=798 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 12974at5820          -            164   1.2e-10   39.8  48.5   1   5       1.8     9e+02   -2.0   0.4    87   111   217   241   201   284 0.67 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 12974at5820          -            164   1.2e-10   39.8  48.5   2   5         7   3.5e+03   -4.0   0.6    55    55   734   734   705   777 0.55 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 12974at5820          -            164   1.2e-10   39.8  48.5   3   5   1.4e-10   7.3e-08   30.8  15.7    22   138   825   945   804   946 0.82 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 12974at5820          -            164   1.2e-10   39.8  48.5   4   5   2.2e-07   0.00011   20.4   8.6    24   135   921  1031   914  1067 0.73 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474987.1         -           1374 12974at5820          -            164   1.2e-10   39.8  48.5   5   5   3.5e-06    0.0018   16.5   1.9    45    89  1263  1307  1231  1359 0.71 | transcript=PVW1_100046800_t1 | gene=PVW1_100046800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1899945-1904263(+) | protein_length=1374 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 12974at5820          -            164   2.2e-09   35.7  43.7   1   4   1.2e-06   0.00059   18.1   5.3    18    88    71   152    58   159 0.76 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 12974at5820          -            164   2.2e-09   35.7  43.7   2   4     0.032        16    3.6  14.5    28   107   136   222   136   233 0.77 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 12974at5820          -            164   2.2e-09   35.7  43.7   3   4    0.0049       2.5    6.3   0.9    71    91   260   280   249   294 0.88 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 12974at5820          -            164   2.2e-09   35.7  43.7   4   4   3.4e-08   1.7e-05   23.0   6.8    48   109   297   352   283   372 0.76 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475830.1         -            148 12974at5820          -            164   9.6e-09   33.6   5.5   1   1   2.5e-11   1.3e-08   33.3   5.5    60   131    11    83     6   117 0.74 | transcript=PVW1_130030200_t1 | gene=PVW1_130030200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 5 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3A2] | transcript_product=MORN repeat-containing protein 5 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3A2] | location=CAJZCX010000006:1121537-1122500(+) | protein_length=148 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 12974at5820          -            164   8.4e-05   20.8  17.7   1   2   1.1e-06   0.00056   18.2   4.4    66   103    38    75    30    78 0.94 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 12974at5820          -            164   8.4e-05   20.8  17.7   2   2    0.0029       1.5    7.0   5.5    59   132    78   149    74   174 0.72 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 12974at5820          -            164   0.00094   17.4   2.6   1   1   5.5e-06    0.0028   15.9   2.6    49   104    19    74     7    98 0.79 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 12974at5820          -            164    0.0047   15.1  11.0   1   2   0.00029      0.15   10.3   3.4    45    83    14    52     2    67 0.63 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 12974at5820          -            164    0.0047   15.1  11.0   2   2    0.0012      0.61    8.3   0.9     4    51    70   118    66   128 0.76 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12974at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:22 2026
# [ok]
