#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483243.1         -            380 8131at5820           -            332  1.8e-189  627.2  64.5   1   1  5.8e-191  4.4e-188  622.6  64.5     1   332     8   380     8   380 0.95 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 8131at5820           -            332     2e-06   25.5  26.5   3   7      0.31   2.3e+02   -1.0   6.3   149   176   671   698   569   698 0.59 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 8131at5820           -            332     2e-06   25.5  26.5   4   7    0.0007      0.53    7.7   0.1   150   182   672   704   651   711 0.85 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 8131at5820           -            332     2e-06   25.5  26.5   5   7     0.017        13    3.1   0.1   103   177   747   823   734   830 0.73 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 8131at5820           -            332     2e-06   25.5  26.5   6   7   1.6e-06    0.0012   16.4   0.0   193   228  1026  1061   960  1065 0.75 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 8131at5820           -            332     2e-06   25.5  26.5   7   7    0.0057       4.3    4.7   0.0    54    96  1067  1109  1061  1114 0.89 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 8131at5820           -            332   2.8e-06   25.1   3.3   1   3     0.047        35    1.7   0.0   201   224    30    53    19    57 0.82 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 8131at5820           -            332   2.8e-06   25.1   3.3   2   3   0.00015      0.12    9.9   0.2   152   225    94   177    92   184 0.76 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484005.1         -            332 8131at5820           -            332   2.8e-06   25.1   3.3   3   3   7.6e-05     0.058   10.9   0.0    54   130   188   273   177   306 0.73 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472174.1         -            606 8131at5820           -            332       1.9    5.9  61.1   1   5      0.02        15    2.9   6.8   204   288    56   135    31   144 0.55 | transcript=PVW1_140035400_t1 | gene=PVW1_140035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | location=CAJZCX010000003:1320884-1322704(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472174.1         -            606 8131at5820           -            332       1.9    5.9  61.1   2   5    0.0012       0.9    7.0  11.1   183   271   233   323   225   362 0.67 | transcript=PVW1_140035400_t1 | gene=PVW1_140035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | location=CAJZCX010000003:1320884-1322704(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472174.1         -            606 8131at5820           -            332       1.9    5.9  61.1   3   5      0.85   6.4e+02   -2.4   3.9   247   279   345   376   326   400 0.46 | transcript=PVW1_140035400_t1 | gene=PVW1_140035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | location=CAJZCX010000003:1320884-1322704(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472174.1         -            606 8131at5820           -            332       1.9    5.9  61.1   4   5     0.004       3.1    5.2  13.1   227   332   394   495   389   497 0.74 | transcript=PVW1_140035400_t1 | gene=PVW1_140035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | location=CAJZCX010000003:1320884-1322704(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472174.1         -            606 8131at5820           -            332       1.9    5.9  61.1   5   5     0.015        11    3.4   0.7    54    96   557   599   547   603 0.84 | transcript=PVW1_140035400_t1 | gene=PVW1_140035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4T5] | location=CAJZCX010000003:1320884-1322704(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8131at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:07 2026
# [ok]
