#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480522.1         -            340 9867at5820           -            284  2.6e-172  570.0  32.2   1   2       1.1   2.3e+02   -0.8   0.1     1    14     1    14     1    26 0.75 | transcript=PVW1_070021700_t1 | gene=PVW1_070021700 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | transcript_product=RNA-binding protein musashi, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV72] | location=CAJZCX010000011:771557-772579(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 9867at5820           -            284   4.9e-11   40.8  15.1   1   2   1.4e-08   2.9e-06   25.1   1.8   121   212    95   189    12   207 0.63 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477625.1         -            392 9867at5820           -            284   4.9e-11   40.8  15.1   2   2   1.3e-07   2.7e-05   22.0   0.0    65   120   213   268   205   284 0.80 | transcript=PVW1_110016500_t1 | gene=PVW1_110016500 | organism=Plasmodium_vivax_PvW1 | gene_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | transcript_product=Poly(A)-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV7] | location=CAJZCX010000008:475180-477837(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 9867at5820           -            284   8.5e-10   36.7   1.3   1   3     4e-12   8.5e-10   36.7   1.3    63   224    22   188    12   205 0.81 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 9867at5820           -            284   8.5e-10   36.7   1.3   2   3       3.9   8.2e+02   -2.6   0.2   248   271   323   346   308   350 0.57 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 9867at5820           -            284   8.5e-10   36.7   1.3   3   3       6.8   1.4e+03   -3.4   3.2   245   272   340   367   328   375 0.63 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 9867at5820           -            284   1.7e-09   35.7   6.2   1   2   3.4e-05    0.0072   14.0   0.6   143   198    94   149    81   194 0.64 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480575.1         -            475 9867at5820           -            284   1.7e-09   35.7   6.2   2   2   2.1e-08   4.4e-06   24.5   0.7    56   211   298   374   259   384 0.55 | transcript=PVW1_070025800_t1 | gene=PVW1_070025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:933774-935396(+) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 9867at5820           -            284   7.3e-09   33.6  31.5   1   2   8.3e-06    0.0017   16.0  20.1    49   223    69   263    53   342 0.65 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 9867at5820           -            284   7.3e-09   33.6  31.5   2   2   2.1e-07   4.5e-05   21.2   0.0    43   131   376   467   370   497 0.81 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477508.1         -            448 9867at5820           -            284   7.5e-09   33.6   0.7   1   1   5.6e-11   1.2e-08   33.0   0.7   138   217    92   172    63   183 0.79 | transcript=PVW1_110010300_t1 | gene=PVW1_110010300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEU1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEU1] | location=CAJZCX010000008:220414-221760(-) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9867at5820           -            284   1.2e-07   29.6  22.6   1   5       2.3   4.9e+02   -1.9   0.6   199   231    80   115    32   128 0.53 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9867at5820           -            284   1.2e-07   29.6  22.6   2   5       3.9   8.2e+02   -2.6   0.4    99   149   498   555   482   579 0.55 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9867at5820           -            284   1.2e-07   29.6  22.6   3   5     0.049        10    3.6   0.1   144   172   713   741   702   752 0.86 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9867at5820           -            284   1.2e-07   29.6  22.6   4   5     0.002      0.43    8.1   0.6    62   131   866   953   850   962 0.62 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 9867at5820           -            284   1.2e-07   29.6  22.6   5   5   6.3e-10   1.3e-07   29.5   0.6    58   142   979  1060   961  1088 0.86 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473602.1         -            911 9867at5820           -            284   1.3e-07   29.5   0.6   1   3      0.91   1.9e+02   -0.5   0.0    59    83   539   563   532   573 0.83 | transcript=PVW1_120052600_t1 | gene=PVW1_120052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | transcript_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | location=CAJZCX010000004:1966612-1969347(+) | protein_length=911 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473602.1         -            911 9867at5820           -            284   1.3e-07   29.5   0.6   2   3   9.8e-09   2.1e-06   25.6   0.1   139   257   669   783   652   802 0.82 | transcript=PVW1_120052600_t1 | gene=PVW1_120052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | transcript_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | location=CAJZCX010000004:1966612-1969347(+) | protein_length=911 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473602.1         -            911 9867at5820           -            284   1.3e-07   29.5   0.6   3   3      0.81   1.7e+02   -0.4   0.0   160   217   835   897   811   906 0.67 | transcript=PVW1_120052600_t1 | gene=PVW1_120052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | transcript_product=Splicing factor U2AF large subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA2] | location=CAJZCX010000004:1966612-1969347(+) | protein_length=911 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472436.1         -            517 9867at5820           -            284   4.1e-07   27.9   0.3   1   2       1.5   3.2e+02   -1.3   0.1   185   209    67    91    10   109 0.53 | transcript=PVW1_140060600_t1 | gene=PVW1_140060600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2429575-2431128(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472436.1         -            517 9867at5820           -            284   4.1e-07   27.9   0.3   2   2   8.4e-09   1.8e-06   25.8   0.0    56   133   429   508   415   515 0.89 | transcript=PVW1_140060600_t1 | gene=PVW1_140060600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2429575-2431128(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477173.1         -           1849 9867at5820           -            284   1.4e-06   26.1   0.1   1   1     3e-08   6.4e-06   24.0   0.1   145   203  1020  1078  1014  1103 0.91 | transcript=PVW1_090044400_t1 | gene=PVW1_090044400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1742468-1748017(+) | protein_length=1849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477646.1         -            181 9867at5820           -            284   2.4e-06   25.4   0.4   1   1   1.5e-08   3.2e-06   25.0   0.3   145   215    51   123    36   155 0.83 | transcript=PVW1_110017300_t1 | gene=PVW1_110017300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | location=CAJZCX010000008:516751-518073(+) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 9867at5820           -            284   3.4e-06   24.9   0.2   1   1   1.2e-07   2.5e-05   22.0   0.2    63   202   635   794   615   821 0.72 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480606.1         -            202 9867at5820           -            284     8e-06   23.7   0.1   1   1   4.9e-08     1e-05   23.3   0.1    59   127    69   138    23   148 0.86 | transcript=PVW1_070028800_t1 | gene=PVW1_070028800 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAQ6] | location=CAJZCX010000011:1050271-1051729(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 9867at5820           -            284     1e-05   23.3   0.2   1   2   3.5e-07   7.4e-05   20.5   0.1   145   235    22   116     9   131 0.80 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 9867at5820           -            284     1e-05   23.3   0.2   2   2      0.39        81    0.7   0.0   144   182   172   209   162   231 0.73 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480823.1         -            192 9867at5820           -            284   2.1e-05   22.3   1.2   1   2   1.8e-06   0.00037   18.2   0.7   136   202     2    73     1   110 0.75 | transcript=PVW1_070040600_t1 | gene=PVW1_070040600 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | transcript_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | location=CAJZCX010000011:1467954-1468532(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480823.1         -            192 9867at5820           -            284   2.1e-05   22.3   1.2   2   2      0.11        23    2.5   0.0   145   173   121   149   116   183 0.81 | transcript=PVW1_070040600_t1 | gene=PVW1_070040600 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | transcript_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | location=CAJZCX010000011:1467954-1468532(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476797.1         -            208 9867at5820           -            284   4.6e-05   21.2   0.2   1   1     4e-07   8.3e-05   20.3   0.2    58   122     5    69     1    89 0.86 | transcript=PVW1_090025000_t1 | gene=PVW1_090025000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG2] | location=CAJZCX010000007:896045-896671(-) | protein_length=208 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479082.1         -            299 9867at5820           -            284   0.00057   17.6   0.1   1   1   3.9e-06   0.00082   17.1   0.1   138   229    28   124     4   143 0.74 | transcript=PVW1_080026100_t1 | gene=PVW1_080026100 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | location=CAJZCX010000009:962142-963476(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476962.1         -           1054 9867at5820           -            284    0.0013   16.4   0.0   1   1   9.7e-06     0.002   15.8   0.0    63   131     8    79     3    96 0.72 | transcript=PVW1_090032200_t1 | gene=PVW1_090032200 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD15] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HD15] | location=CAJZCX010000007:1220705-1223869(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476258.1         -            119 9867at5820           -            284    0.0014   16.3   0.0   1   1   6.9e-06    0.0015   16.2   0.0    63   113    37    89    14   117 0.61 | transcript=PVW1_130049300_t1 | gene=PVW1_130049300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | location=CAJZCX010000006:1961744-1962472(-) | protein_length=119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473942.1         -            786 9867at5820           -            284    0.0015   16.2   1.5   1   2   7.8e-06    0.0016   16.1   0.1    61   205    29    91    13   143 0.60 | transcript=PVW1_120076300_t1 | gene=PVW1_120076300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | location=CAJZCX010000004:2999228-3002288(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473942.1         -            786 9867at5820           -            284    0.0015   16.2   1.5   2   2       6.5   1.4e+03   -3.3   0.1   256   270   691   705   674   709 0.77 | transcript=PVW1_120076300_t1 | gene=PVW1_120076300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR1] | location=CAJZCX010000004:2999228-3002288(-) | protein_length=786 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481328.1         -            505 9867at5820           -            284    0.0042   14.7   0.3   1   1   3.4e-05    0.0071   14.0   0.3    18   134   291   411   276   438 0.80 | transcript=PVW1_060011500_t1 | gene=PVW1_060011500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:276991-279951(-) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472320.1         -            110 9867at5820           -            284    0.0056   14.3   0.0   1   1   2.8e-05    0.0059   14.3   0.0   145   198    15    66     9   107 0.75 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477014.1         -            156 9867at5820           -            284     0.013   13.2   0.5   1   1    0.0001     0.021   12.4   0.2   143   188     3    48     1    68 0.80 | transcript=PVW1_090036300_t1 | gene=PVW1_090036300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | location=CAJZCX010000007:1370808-1371278(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477027.1         -            962 9867at5820           -            284     0.034   11.8   0.0   1   1   0.00027     0.057   11.0   0.0    56   118   739   809   735   818 0.78 | transcript=PVW1_090037400_t1 | gene=PVW1_090037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1415681-1418569(-) | protein_length=962 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
