#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480367.1         -            515 7500at5820           -            277  1.5e-162  538.2  35.8   1   4   3.2e-58   2.1e-55  186.7   3.1     1    93    83   175    83   178 0.99 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 7500at5820           -            277   5.9e-06   24.6  12.1   3   4      0.18   1.2e+02    0.6   0.6   102   182   750   830   735   835 0.58 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480322.1         -           1119 7500at5820           -            277   5.9e-06   24.6  12.1   4   4   1.1e-05    0.0074   14.4   0.3   103   179  1031  1112   985  1118 0.81 | transcript=PVW1_070010100_t1 | gene=PVW1_070010100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:292035-295394(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475316.1         -            323 7500at5820           -            277   0.00021   19.5   6.7   1   2   5.3e-06    0.0036   15.4   1.4    96   240    25   160    15   183 0.66 | transcript=PVW1_130008100_t1 | gene=PVW1_130008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | transcript_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | location=CAJZCX010000006:140006-140977(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475316.1         -            323 7500at5820           -            277   0.00021   19.5   6.7   2   2    0.0024       1.6    6.7   0.3    82   177   213   308   194   312 0.75 | transcript=PVW1_130008100_t1 | gene=PVW1_130008100 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | transcript_product=Mitochondrial phosphate carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2V5] | location=CAJZCX010000006:140006-140977(-) | protein_length=323 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 7500at5820           -            277   0.00028   19.1   1.9   1   3   0.00062      0.42    8.7   0.0   103   166    35   104    20   136 0.70 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 7500at5820           -            277   0.00028   19.1   1.9   2   3   0.00086      0.58    8.2   0.6   208   262   226   278   123   296 0.88 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 7500at5820           -            277   0.00028   19.1   1.9   3   3   0.00062      0.42    8.7   0.5    12    83   228   308   222   317 0.52 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474728.1         -            363 7500at5820           -            277    0.0012   17.0   2.3   1   1   2.9e-06    0.0019   16.3   2.3    98   207   116   227    95   260 0.76 | transcript=PVW1_100026000_t1 | gene=PVW1_100026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1018429-1019782(-) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472307.1         -            306 7500at5820           -            277    0.0035   15.5   1.8   1   3   1.6e-05     0.011   13.9   0.0   116   157    19    60     6    78 0.88 | transcript=PVW1_140048300_t1 | gene=PVW1_140048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1895602-1896522(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472307.1         -            306 7500at5820           -            277    0.0035   15.5   1.8   2   3       0.4   2.7e+02   -0.6   0.1   102   154    93   145    59   154 0.61 | transcript=PVW1_140048300_t1 | gene=PVW1_140048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1895602-1896522(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472307.1         -            306 7500at5820           -            277    0.0035   15.5   1.8   3   3      0.54   3.7e+02   -1.0   0.0   226   240   241   255   226   289 0.55 | transcript=PVW1_140048300_t1 | gene=PVW1_140048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1895602-1896522(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 7500at5820           -            277    0.0035   15.5  46.1   1   4   0.00092      0.62    8.1   1.8     7    48     7    48     1    60 0.78 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 7500at5820           -            277    0.0035   15.5  46.1   2   4      0.77   5.2e+02   -1.5   4.7   131   185    57   108    49   113 0.68 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 7500at5820           -            277    0.0035   15.5  46.1   3   4     3e-05      0.02   13.0  18.3     6   192   111   310   107   333 0.57 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 7500at5820           -            277    0.0035   15.5  46.1   4   4   9.2e-05     0.062   11.4   2.6    40    85   333   378   313   380 0.82 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7500at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7500at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:44 2026
# [ok]
