#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484588.1         -            107 14652at5820          -             79   5.9e-41  137.0   8.4   1   1     3e-43   1.1e-40  136.1   8.4    10    79    38   107    14   107 0.97 | transcript=PVW1_010007200_t1 | gene=PVW1_010007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:115300-116200(-) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476647.1         -            344 14652at5820          -             79   2.9e-06   25.8  18.1   2   4      0.06        23    3.8   0.2    19    72    99   160    98   166 0.62 | transcript=PVW1_090014500_t1 | gene=PVW1_090014500 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | transcript_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | location=CAJZCX010000007:505379-506413(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476647.1         -            344 14652at5820          -             79   2.9e-06   25.8  18.1   3   4     0.015       5.6    5.7   1.0    12    40   167   197   163   204 0.71 | transcript=PVW1_090014500_t1 | gene=PVW1_090014500 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | transcript_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | location=CAJZCX010000007:505379-506413(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476647.1         -            344 14652at5820          -             79   2.9e-06   25.8  18.1   4   4   2.5e-06   0.00097   17.8   0.9    17    43   211   237   198   244 0.81 | transcript=PVW1_090014500_t1 | gene=PVW1_090014500 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | transcript_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | location=CAJZCX010000007:505379-506413(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476583.1         -            167 14652at5820          -             79   1.1e-05   24.0  14.1   1   3     2e-07   7.5e-05   21.3   5.2     9    73     6    76     1    82 0.83 | transcript=PVW1_090011400_t1 | gene=PVW1_090011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | transcript_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | location=CAJZCX010000007:366712-367488(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476583.1         -            167 14652at5820          -             79   1.1e-05   24.0  14.1   2   3         1     4e+02   -0.2   0.0    13    34    88   106    75   121 0.59 | transcript=PVW1_090011400_t1 | gene=PVW1_090011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | transcript_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | location=CAJZCX010000007:366712-367488(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476583.1         -            167 14652at5820          -             79   1.1e-05   24.0  14.1   3   3    0.0033       1.3    7.8   0.5    23    51   133   159   120   167 0.79 | transcript=PVW1_090011400_t1 | gene=PVW1_090011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | transcript_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | location=CAJZCX010000007:366712-367488(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479853.1         -            275 14652at5820          -             79   0.00012   20.7   4.8   1   2   3.5e-05     0.013   14.1   3.0    19    57   162   200   146   211 0.82 | transcript=PVW1_050024000_t1 | gene=PVW1_050024000 | organism=Plasmodium_vivax_PvW1 | gene_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTK4] | transcript_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTK4] | location=CAJZCX010000010:815068-816187(-) | protein_length=275 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479853.1         -            275 14652at5820          -             79   0.00012   20.7   4.8   2   2     0.019       7.3    5.3   0.0    23    42   251   270   229   274 0.78 | transcript=PVW1_050024000_t1 | gene=PVW1_050024000 | organism=Plasmodium_vivax_PvW1 | gene_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTK4] | transcript_product=EF-hand calcium-binding domain-containing protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTK4] | location=CAJZCX010000010:815068-816187(-) | protein_length=275 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481707.1         -            236 14652at5820          -             79    0.0003   19.4   9.4   1   3   4.3e-06    0.0016   17.0   0.3     9    46     2    39     1    58 0.90 | transcript=PVW1_060022400_t1 | gene=PVW1_060022400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X4] | transcript_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X4] | location=CAJZCX010000012:729192-729902(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481707.1         -            236 14652at5820          -             79    0.0003   19.4   9.4   2   3       1.9   7.3e+02   -1.1   0.1    28    53   129   156   110   164 0.54 | transcript=PVW1_060022400_t1 | gene=PVW1_060022400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X4] | transcript_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X4] | location=CAJZCX010000012:729192-729902(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481707.1         -            236 14652at5820          -             79    0.0003   19.4   9.4   3   3    0.0066       2.5    6.8   1.5    17    47   169   199   151   223 0.82 | transcript=PVW1_060022400_t1 | gene=PVW1_060022400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X4] | transcript_product=Calmodulin, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9X4] | location=CAJZCX010000012:729192-729902(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473412.1         -            465 14652at5820          -             79   0.00086   17.9   7.3   1   4     0.063        24    3.7   0.0    55    72   162   179   157   185 0.89 | transcript=PVW1_120039300_t1 | gene=PVW1_120039300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1418644-1420041(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473412.1         -            465 14652at5820          -             79   0.00086   17.9   7.3   2   4      0.47   1.8e+02    0.9   0.1    24    42   201   219   183   231 0.80 | transcript=PVW1_120039300_t1 | gene=PVW1_120039300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1418644-1420041(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473412.1         -            465 14652at5820          -             79   0.00086   17.9   7.3   3   4   0.00023     0.088   11.5   0.2    20    77   309   367   292   369 0.86 | transcript=PVW1_120039300_t1 | gene=PVW1_120039300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1418644-1420041(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473412.1         -            465 14652at5820          -             79   0.00086   17.9   7.3   4   4      0.14        52    2.6   0.0    23    40   428   445   412   454 0.88 | transcript=PVW1_120039300_t1 | gene=PVW1_120039300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1418644-1420041(+) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473927.1         -            168 14652at5820          -             79     0.002   16.8   6.5   1   3   3.4e-05     0.013   14.2   0.9    12    78    21    91    13    92 0.82 | transcript=PVW1_120075300_t1 | gene=PVW1_120075300 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHQ0] | transcript_product=Centrin-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHQ0] | location=CAJZCX010000004:2951190-2951936(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473927.1         -            168 14652at5820          -             79     0.002   16.8   6.5   2   3    0.0023      0.87    8.3   1.2    28    71    71   121    61   128 0.75 | transcript=PVW1_120075300_t1 | gene=PVW1_120075300 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHQ0] | transcript_product=Centrin-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHQ0] | location=CAJZCX010000004:2951190-2951936(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473927.1         -            168 14652at5820          -             79     0.002   16.8   6.5   3   3     0.045        17    4.2   0.5    16    73    98   159    94   165 0.68 | transcript=PVW1_120075300_t1 | gene=PVW1_120075300 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHQ0] | transcript_product=Centrin-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHQ0] | location=CAJZCX010000004:2951190-2951936(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 14652at5820          -             79    0.0058   15.3   2.8   1   2      0.22        84    1.9   0.0    53    73   501   521   494   528 0.83 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479257.1         -            604 14652at5820          -             79    0.0058   15.3   2.8   2   2    0.0017      0.64    8.7   1.2    12    71   527   595   517   601 0.68 | transcript=PVW1_080035900_t1 | gene=PVW1_080035900 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | transcript_product=Calcium-dependent protein kinase 3, putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZTW2] | location=CAJZCX010000009:1365607-1368547(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473119.1         -            423 14652at5820          -             79    0.0073   15.0   1.1   1   4       3.1   1.2e+03   -1.7   0.2    43    43   289   289   251   326 0.50 | transcript=PVW1_120016900_t1 | gene=PVW1_120016900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | location=CAJZCX010000004:560451-563752(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473119.1         -            423 14652at5820          -             79    0.0073   15.0   1.1   2   4      0.17        64    2.3   0.1    17    72   295   355   281   358 0.68 | transcript=PVW1_120016900_t1 | gene=PVW1_120016900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | location=CAJZCX010000004:560451-563752(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473119.1         -            423 14652at5820          -             79    0.0073   15.0   1.1   3   4   1.9e-05    0.0073   15.0   1.1    19    73   334   392   326   398 0.84 | transcript=PVW1_120016900_t1 | gene=PVW1_120016900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | location=CAJZCX010000004:560451-563752(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473119.1         -            423 14652at5820          -             79    0.0073   15.0   1.1   4   4       3.3   1.2e+03   -1.8   0.1     6    27   397   419   391   420 0.72 | transcript=PVW1_120016900_t1 | gene=PVW1_120016900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGA1] | location=CAJZCX010000004:560451-563752(+) | protein_length=423 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 14652at5820          -             79    0.0086   14.7  18.6   1   4       4.6   1.7e+03   -2.3   0.0    41    57   167   183   164   188 0.82 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 14652at5820          -             79    0.0086   14.7  18.6   2   4      0.14        54    2.6   0.2    43    62   325   347   320   354 0.79 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 14652at5820          -             79    0.0086   14.7  18.6   3   4   0.00039      0.15   10.8   0.4    12    73   418   482   413   487 0.77 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473290.1         -            563 14652at5820          -             79    0.0086   14.7  18.6   4   4    0.0069       2.6    6.8   4.1    23    73   500   556   491   561 0.74 | transcript=PVW1_120031400_t1 | gene=PVW1_120031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | transcript_product=Calcium-dependent protein kinase 5, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H152] | location=CAJZCX010000004:1172915-1174606(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479134.1         -            130 14652at5820          -             79     0.021   13.5   0.0   1   1    0.0001     0.039   12.6   0.0    40    70    34    64    23    68 0.90 | transcript=PVW1_080028900_t1 | gene=PVW1_080028900 | organism=Plasmodium_vivax_PvW1 | gene_product=40S ribosomal protein S15A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWI3] | transcript_product=40S ribosomal protein S15A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWI3] | location=CAJZCX010000009:1097570-1098091(-) | protein_length=130 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 14652at5820          -             79      0.64    8.7  22.5   1   5       3.6   1.4e+03   -1.9   0.0    41    56   119   134   101   138 0.74 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 14652at5820          -             79      0.64    8.7  22.5   2   5      0.38   1.4e+02    1.2   0.4    10    53   294   334   286   345 0.69 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 14652at5820          -             79      0.64    8.7  22.5   3   5     0.026       9.8    4.9   3.9    12    73   371   444   362   447 0.65 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 14652at5820          -             79      0.64    8.7  22.5   4   5     0.034        13    4.6   4.1    17    71   420   478   403   485 0.72 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 14652at5820          -             79      0.64    8.7  22.5   5   5    0.0032       1.2    7.8   0.2    25    46   498   519   482   524 0.81 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14652at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:01 2026
# [ok]
