#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9480699.1         -            635 6365at5820           -            498    1e-229  761.5  65.5   1   3   9.1e-82     5e-79  264.5  25.1     1   183    23   226    23   232 0.93 | transcript=PVW1_070035400_t1 | gene=PVW1_070035400 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAZ5] | location=CAJZCX010000011:1288133-1290772(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   5   8   1.9e-08   1.1e-05   22.6  13.2    66   161  1021  1119  1020  1144 0.81 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   6   8   0.00021      0.12    9.3   3.0    52    97  1166  1211  1152  1217 0.69 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   7   8   3.8e-08   2.1e-05   21.7   2.5    60   123  1227  1293  1224  1297 0.83 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475692.1         -           1487 6365at5820           -            498   2.2e-27   94.2  88.7   8   8   2.5e-07   0.00014   18.9   3.2    87   148  1301  1366  1299  1382 0.79 | transcript=PVW1_130024100_t1 | gene=PVW1_130024100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:880412-887439(+) | protein_length=1487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473172.1         -            250 6365at5820           -            498   3.4e-22   77.1  47.4   1   2   1.9e-14     1e-11   42.5  17.0    68   158    29   119    14   120 0.94 | transcript=PVW1_120021600_t1 | gene=PVW1_120021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | location=CAJZCX010000004:753079-754820(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473172.1         -            250 6365at5820           -            498   3.4e-22   77.1  47.4   2   2   4.8e-16   2.7e-13   47.7  22.5    65   176    70   185    70   195 0.89 | transcript=PVW1_120021600_t1 | gene=PVW1_120021600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HG80] | location=CAJZCX010000004:753079-754820(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 6365at5820           -            498     3e-17   60.7  15.3   1   2   5.5e-20     3e-17   60.7  15.3    45   167    37   158    18   163 0.93 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475021.1         -            371 6365at5820           -            498     3e-17   60.7  15.3   2   2     0.014       7.7    3.3   0.3   146   175   272   301   253   312 0.81 | transcript=PVW1_100048800_t1 | gene=PVW1_100048800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1990818-1992588(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479732.1         -            198 6365at5820           -            498   2.2e-15   54.6   8.6   1   1   6.1e-18   3.4e-15   54.0   8.6    59   169    47   158    36   189 0.91 | transcript=PVW1_050016800_t1 | gene=PVW1_050016800 | organism=Plasmodium_vivax_PvW1 | gene_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | transcript_product=Dynein light chain 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTF1] | location=CAJZCX010000010:539634-541511(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473819.1         -            361 6365at5820           -            498   1.5e-13   48.5  82.6   1   3   5.4e-10     3e-07   27.7  25.6    56   157    28   128    19   135 0.91 | transcript=PVW1_120069700_t1 | gene=PVW1_120069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | location=CAJZCX010000004:2709734-2710819(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473819.1         -            361 6365at5820           -            498   1.5e-13   48.5  82.6   2   3   6.7e-11   3.7e-08   30.8  20.3    61   145    76   160    72   167 0.94 | transcript=PVW1_120069700_t1 | gene=PVW1_120069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | location=CAJZCX010000004:2709734-2710819(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473819.1         -            361 6365at5820           -            498   1.5e-13   48.5  82.6   3   3     8e-07   0.00044   17.3  20.7    52   182   133   264   128   291 0.67 | transcript=PVW1_120069700_t1 | gene=PVW1_120069700 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHI5] | location=CAJZCX010000004:2709734-2710819(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472352.1         -            438 6365at5820           -            498   2.2e-12   44.7  16.5   1   1   5.9e-15   3.2e-12   44.1  16.5    59   179    15   138     8   203 0.88 | transcript=PVW1_140052600_t1 | gene=PVW1_140052600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5F3] | location=CAJZCX010000003:2063592-2065155(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477264.1         -            340 6365at5820           -            498   2.2e-11   41.4  37.1   1   2   7.9e-11   4.4e-08   30.5  15.8    44   145   105   208    93   210 0.88 | transcript=PVW1_090051600_t1 | gene=PVW1_090051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | location=CAJZCX010000007:2055600-2056622(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477264.1         -            340 6365at5820           -            498   2.2e-11   41.4  37.1   2   2     2e-06    0.0011   16.0  19.1    63   165   192   293   190   319 0.88 | transcript=PVW1_090051600_t1 | gene=PVW1_090051600 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYE1] | location=CAJZCX010000007:2055600-2056622(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477438.1         -            176 6365at5820           -            498   7.3e-09   33.1  18.2   1   1   1.5e-11   8.4e-09   32.9  18.2    42   162    18   146     2   164 0.78 | transcript=PVW1_110007700_t1 | gene=PVW1_110007700 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | transcript_product=U2 small nuclear ribonucleoprotein A', putative [Source:UniProtKB/TrEMBL;Acc:A0A564ZWM9] | location=CAJZCX010000008:123344-124687(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475790.1         -            281 6365at5820           -            498   1.9e-06   25.1   8.5   1   1   4.8e-09   2.6e-06   24.6   8.5    59   169    25   144    22   199 0.87 | transcript=PVW1_130028500_t1 | gene=PVW1_130028500 | organism=Plasmodium_vivax_PvW1 | gene_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIZ4] | transcript_product=Leucine-rich repeat protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIZ4] | location=CAJZCX010000006:1047339-1048184(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6365at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6365at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6365at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:11 2026
# [ok]
