#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479861.1         -            392 10051at5820          -            291    1e-133  443.7  23.1   1   2     0.052        46    1.8   0.0     1    18    16    33    16    35 0.91 | transcript=PVW1_050024800_t1 | gene=PVW1_050024800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:837997-839360(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478859.1         -            406 10051at5820          -            291     0.023   12.6   1.2   1   1   4.1e-05     0.035   12.0   1.2    37    90    15    69     6    89 0.83 | transcript=PVW1_080017100_t1 | gene=PVW1_080017100 | organism=Plasmodium_vivax_PvW1 | gene_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | transcript_product=UV excision repair protein RAD23 [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW63] | location=CAJZCX010000009:553764-554984(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:29 2026
# [ok]
