#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472400.1         -            775 2989at5820           -            649         0 1306.8  27.7   1   2  8.6e-152  3.3e-149  496.7   4.5     1   266    38   339    38   343 0.94 | transcript=PVW1_140057500_t1 | gene=PVW1_140057500 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | transcript_product=Elongation factor G, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5E7] | location=CAJZCX010000003:2285118-2287445(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472124.1         -            771 2989at5820           -            649   1.2e-26   91.7   9.3   3   3     0.005       1.9    5.2   0.2   560   639   561   641   546   652 0.87 | transcript=PVW1_140031000_t1 | gene=PVW1_140031000 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4S0] | location=CAJZCX010000003:1127759-1130074(+) | protein_length=771 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2989at5820           -            649   2.3e-19   67.7  13.4   1   4   3.4e-05     0.013   12.3   0.2     2    64    11    68    10    80 0.80 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2989at5820           -            649   2.3e-19   67.7  13.4   2   4   6.6e-18   2.5e-15   54.3   1.4    69   166   171   266   146   276 0.85 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2989at5820           -            649   2.3e-19   67.7  13.4   3   4     0.057        22    1.6   0.1   288   340   514   567   480   572 0.79 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473167.1         -           1395 2989at5820           -            649   2.3e-19   67.7  13.4   4   4    0.0073       2.8    4.6   0.1   561   640  1256  1337  1228  1342 0.77 | transcript=PVW1_120021100_t1 | gene=PVW1_120021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:730701-735334(+) | protein_length=1395 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2989at5820           -            649     1e-13   49.0   1.9   1   4    0.0048       1.8    5.2   0.0     4    32   183   211   180   228 0.80 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2989at5820           -            649     1e-13   49.0   1.9   2   4   7.6e-05     0.029   11.2   0.4    72   136   324   388   303   421 0.87 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2989at5820           -            649     1e-13   49.0   1.9   3   4   0.00056      0.21    8.3   0.1   363   447   804   891   793   912 0.81 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478655.1         -           1251 2989at5820           -            649     1e-13   49.0   1.9   4   4   1.8e-07     7e-05   19.8   0.0   505   645  1051  1195  1019  1199 0.75 | transcript=PVW1_080008900_t1 | gene=PVW1_080008900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:227337-231092(-) | protein_length=1251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473400.1         -            456 2989at5820           -            649   2.6e-12   44.4   1.4   1   2   4.9e-13   1.9e-10   38.2   0.3     5   136    73   200    70   219 0.84 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473400.1         -            456 2989at5820           -            649   2.6e-12   44.4   1.4   2   2     0.005       1.9    5.2   0.0   263   340   261   340   247   362 0.83 | transcript=PVW1_120038400_t1 | gene=PVW1_120038400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | transcript_product=Elongation factor Tu [Source:UniProtKB/TrEMBL;Acc:A0A1G4H193] | location=CAJZCX010000004:1393019-1394389(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474934.1         -           1380 2989at5820           -            649     5e-09   33.5   0.5   1   1   2.3e-11   8.6e-09   32.7   0.5    50   147   801   901   786   939 0.87 | transcript=PVW1_100041600_t1 | gene=PVW1_100041600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1690403-1694545(+) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477696.1         -            443 2989at5820           -            649   3.5e-08   30.7   0.0   1   1   1.3e-10   4.9e-08   30.2   0.0     6   106     9   119     5   156 0.81 | transcript=PVW1_110020300_t1 | gene=PVW1_110020300 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:659037-660368(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477697.1         -            443 2989at5820           -            649   3.5e-08   30.7   0.0   1   1   1.3e-10   4.9e-08   30.2   0.0     6   106     9   119     5   156 0.81 | transcript=PVW1_110020400_t1 | gene=PVW1_110020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | transcript_product=Elongation factor 1-alpha [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF35] | location=CAJZCX010000008:661781-663112(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478154.1         -            996 2989at5820           -            649   1.4e-07   28.8   0.4   1   1   8.3e-10   3.2e-07   27.6   0.4     7   136   415   539   411   542 0.88 | transcript=PVW1_110047900_t1 | gene=PVW1_110047900 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFV2] | location=CAJZCX010000008:1808367-1811357(-) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 2989at5820           -            649   2.1e-07   28.1  10.8   1   2   5.6e-10   2.1e-07   28.1  10.8     6   217    14   219     8   255 0.78 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471672.1         -            409 2989at5820           -            649   2.1e-07   28.1  10.8   2   2      0.52     2e+02   -1.5   0.1   148   213   293   361   269   367 0.62 | transcript=PVW1_000030400_t1 | gene=PVW1_000030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:H7CDI8] | location=CAJZCX010000001:766-1995(-) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479673.1         -           1162 2989at5820           -            649   3.1e-07   27.6   0.8   1   2       1.1   4.2e+02   -2.6   0.0     7    24   597   614   589   618 0.85 | transcript=PVW1_050012200_t1 | gene=PVW1_050012200 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | location=CAJZCX010000010:349555-353043(-) | protein_length=1162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479673.1         -           1162 2989at5820           -            649   3.1e-07   27.6   0.8   2   2   1.9e-09   7.4e-07   26.3   0.3    57   143   626   714   615   767 0.80 | transcript=PVW1_050012200_t1 | gene=PVW1_050012200 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8L7] | location=CAJZCX010000010:349555-353043(-) | protein_length=1162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476892.1         -            547 2989at5820           -            649   3.5e-06   24.1   0.1   1   1   1.4e-08   5.2e-06   23.5   0.1     6   114   113   231   109   279 0.75 | transcript=PVW1_090028600_t1 | gene=PVW1_090028600 | organism=Plasmodium_vivax_PvW1 | gene_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | transcript_product=Tr-type G domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCS3] | location=CAJZCX010000007:1083295-1085201(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2989at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2989at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2989at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:53 2026
# [ok]
