#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475711.1         -            948 7873at5820           -            702    9e-256  849.0   0.0   1   1  1.5e-256  5.3e-254  843.1   0.0     2   690    11   921    10   943 0.75 | transcript=PVW1_130025100_t1 | gene=PVW1_130025100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:921968-925139(+) | protein_length=948 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476510.1         -            345 7873at5820           -            702      0.34    7.5  19.8   2   2       3.7   1.3e+03   -4.4   1.1   451   464   313   326   306   334 0.43 | transcript=PVW1_090007200_t1 | gene=PVW1_090007200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:144387-145547(+) | protein_length=345 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480002.1         -            294 7873at5820           -            702      0.37    7.4  19.9   1   1    0.0016      0.57    6.8  19.9   161   256    52   162    35   185 0.52 | transcript=PVW1_050037400_t1 | gene=PVW1_050037400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1385547-1386567(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484718.1         -            162 7873at5820           -            702      0.46    7.0  11.9   1   1    0.0016      0.58    6.7  11.9   498   573     6    82     1    88 0.61 | transcript=PVW1_010010600_t1 | gene=PVW1_010010600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:310754-311451(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480634.1         -           3239 7873at5820           -            702      0.72    6.4  11.9   1   1     0.004       1.4    5.4  11.9   147   220    31   105    18   142 0.58 | transcript=PVW1_070031000_t1 | gene=PVW1_070031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1133837-1143556(-) | protein_length=3239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479207.1         -            596 7873at5820           -            702      0.94    6.0  12.5   1   2      0.78   2.8e+02   -2.1   0.1   432   469   125   164    88   173 0.57 | transcript=PVW1_080032500_t1 | gene=PVW1_080032500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1239350-1241140(+) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479207.1         -            596 7873at5820           -            702      0.94    6.0  12.5   2   2   0.00044      0.16    8.6   8.4   147   239   470   561   452   580 0.46 | transcript=PVW1_080032500_t1 | gene=PVW1_080032500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1239350-1241140(+) | protein_length=596 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475004.1         -            750 7873at5820           -            702         1    5.9  55.3   1   3      0.26        94   -0.6   0.3   245   263    60    79     9   115 0.59 | transcript=PVW1_100048000_t1 | gene=PVW1_100048000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1958773-1961753(-) | protein_length=750 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475004.1         -            750 7873at5820           -            702         1    5.9  55.3   2   3    0.0011       0.4    7.2  33.9   141   240   251   354   236   379 0.39 | transcript=PVW1_100048000_t1 | gene=PVW1_100048000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1958773-1961753(-) | protein_length=750 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475004.1         -            750 7873at5820           -            702         1    5.9  55.3   3   3   0.00055       0.2    8.3   7.7   165   204   441   480   426   613 0.73 | transcript=PVW1_100048000_t1 | gene=PVW1_100048000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1958773-1961753(-) | protein_length=750 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481813.1         -            441 7873at5820           -            702       1.5    5.3  30.1   1   1    0.0085         3    4.3  30.1   115   225   262   370   238   416 0.40 | transcript=PVW1_060027000_t1 | gene=PVW1_060027000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:895199-896524(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483218.1         -            844 7873at5820           -            702       1.6    5.3  27.3   1   1     0.012       4.4    3.8  27.3   142   217   322   413   306   424 0.37 | transcript=PVW1_030012900_t1 | gene=PVW1_030012900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:408354-411065(-) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482483.1         -           1432 7873at5820           -            702         4    3.9  17.2   1   1     0.022       7.8    3.0  17.2   436   545   629   731   611   753 0.50 | transcript=PVW1_040017000_t1 | gene=PVW1_040017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:533886-538748(+) | protein_length=1432 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476740.1         -           1011 7873at5820           -            702       5.2    3.6  17.2   1   2     0.019       6.6    3.2   6.3   482   543   263   324   253   356 0.40 | transcript=PVW1_090022200_t1 | gene=PVW1_090022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:795804-799481(-) | protein_length=1011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476740.1         -           1011 7873at5820           -            702       5.2    3.6  17.2   2   2    0.0032       1.2    5.7   3.1   138   234   682   785   639   812 0.49 | transcript=PVW1_090022200_t1 | gene=PVW1_090022200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:795804-799481(-) | protein_length=1011 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476786.1         -            316 7873at5820           -            702         9    2.8  25.8   1   1     0.039        14    2.2  25.8   455   555   188   289   180   309 0.58 | transcript=PVW1_090024500_t1 | gene=PVW1_090024500 | organism=Plasmodium_vivax_PvW1 | gene_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | transcript_product=Splicing factor U2AF small subunit, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ6] | location=CAJZCX010000007:873038-873988(-) | protein_length=316 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7873at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7873at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:13 2026
# [ok]
