#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9476955.1         -           1216 2178at5820           -            722         0 1062.0  38.2   1   7   1.3e-24   1.5e-21   74.8   3.4     1    56    38    93    38   137 0.81 | transcript=PVW1_090031500_t1 | gene=PVW1_090031500 | organism=Plasmodium_vivax_PvW1 | gene_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | transcript_product=Autophagy-related protein 7, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCX4] | location=CAJZCX010000007:1186605-1190368(-) | protein_length=1216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477539.1         -            534 2178at5820           -            722     7e-08   29.6   0.1   1   1     1e-10   1.2e-07   28.8   0.1   383   464    98   177    73   215 0.83 | transcript=PVW1_110012000_t1 | gene=PVW1_110012000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:290867-292471(+) | protein_length=534 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2178at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2178at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2178at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:23 2026
# [ok]
