#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472320.1         -            110 14892at5820          -             86   7.6e-60  197.7   1.7   1   1   4.3e-62   8.9e-60  197.5   1.7     1    86    20   105    20   105 0.99 | transcript=PVW1_140049400_t1 | gene=PVW1_140049400 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HKM2] | location=CAJZCX010000003:1934377-1934965(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 14892at5820          -             86   3.9e-09   35.2   0.3   1   3    0.0003     0.063   12.1   0.0     2    59    89   149    88   160 0.84 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 14892at5820          -             86   3.9e-09   35.2   0.3   2   3    0.0055       1.1    8.1   0.0     2    51   187   238   186   270 0.77 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476216.1         -            503 14892at5820          -             86   3.9e-09   35.2   0.3   3   3   0.00053      0.11   11.3   0.0    28    63   430   465   401   479 0.74 | transcript=PVW1_130045500_t1 | gene=PVW1_130045500 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | transcript_product=CUGBP Elav-like family member 2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ10] | location=CAJZCX010000006:1784793-1786304(-) | protein_length=503 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 14892at5820          -             86   1.9e-08   33.0   0.0   1   2     0.041       8.5    5.3   0.0     1    62    27    90    27   108 0.79 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478745.1         -            250 14892at5820          -             86   1.9e-08   33.0   0.0   2   2   1.7e-08   3.6e-06   25.7   0.0     1    65   178   244   178   249 0.81 | transcript=PVW1_080011800_t1 | gene=PVW1_080011800 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVZ4] | location=CAJZCX010000009:336242-337833(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 14892at5820          -             86   2.7e-08   32.5   0.0   1   3     0.016       3.3    6.6   0.0     3    53    96   149    94   155 0.83 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 14892at5820          -             86   2.7e-08   32.5   0.0   2   3   0.00017     0.035   12.9   0.0     2    56   194   251   193   278 0.77 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477660.1         -            513 14892at5820          -             86   2.7e-08   32.5   0.0   3   3    0.0027      0.58    9.0   0.0    22    65   402   445   379   462 0.70 | transcript=PVW1_110018000_t1 | gene=PVW1_110018000 | organism=Plasmodium_vivax_PvW1 | gene_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | transcript_product=CUGBP Elav-like family member 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF05] | location=CAJZCX010000008:563805-565527(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472069.1         -            124 14892at5820          -             86   6.2e-08   31.4   1.4   1   1   4.5e-10   9.3e-08   30.8   1.4     6    77    19    93    15   111 0.83 | transcript=PVW1_140028000_t1 | gene=PVW1_140028000 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK09] | location=CAJZCX010000003:1001268-1002138(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481402.1         -            544 14892at5820          -             86   2.1e-07   29.7   2.6   1   2   1.2e-08   2.6e-06   26.2   1.1     1    74    19    95    19   104 0.85 | transcript=PVW1_060013900_t1 | gene=PVW1_060013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9M8] | transcript_product=Serine/arginine-rich splicing factor 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9M8] | location=CAJZCX010000012:405114-407882(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481402.1         -            544 14892at5820          -             86   2.1e-07   29.7   2.6   2   2      0.41        86    2.1   0.0    30    51   164   185   126   194 0.86 | transcript=PVW1_060013900_t1 | gene=PVW1_060013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/arginine-rich splicing factor 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9M8] | transcript_product=Serine/arginine-rich splicing factor 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9M8] | location=CAJZCX010000012:405114-407882(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471856.1         -            505 14892at5820          -             86   4.7e-07   28.6   0.7   1   2     3e-08   6.2e-06   25.0   0.1     9    69   245   305   233   324 0.84 | transcript=PVW1_140014000_t1 | gene=PVW1_140014000 | organism=Plasmodium_vivax_PvW1 | gene_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | transcript_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | location=CAJZCX010000003:434420-436257(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471856.1         -            505 14892at5820          -             86   4.7e-07   28.6   0.7   2   2      0.59   1.2e+02    1.6   0.0    32    67   467   502   439   504 0.79 | transcript=PVW1_140014000_t1 | gene=PVW1_140014000 | organism=Plasmodium_vivax_PvW1 | gene_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | transcript_product=U1 small nuclear ribonucleoprotein A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H486] | location=CAJZCX010000003:434420-436257(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472436.1         -            517 14892at5820          -             86   2.3e-05   23.1   0.1   1   2       5.6   1.2e+03   -1.6   0.0     1    44    22    66    22    70 0.65 | transcript=PVW1_140060600_t1 | gene=PVW1_140060600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2429575-2431128(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472436.1         -            517 14892at5820          -             86   2.3e-05   23.1   0.1   2   2   4.8e-07    0.0001   21.1   0.0    10    66   449   507   440   516 0.85 | transcript=PVW1_140060600_t1 | gene=PVW1_140060600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2429575-2431128(-) | protein_length=517 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477979.1         -            153 14892at5820          -             86     8e-05   21.4   0.5   1   1   7.3e-07   0.00015   20.5   0.3     1    61    67   129    67   147 0.89 | transcript=PVW1_110039200_t1 | gene=PVW1_110039200 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H050] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H050] | location=CAJZCX010000008:1455048-1456485(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480787.1         -            725 14892at5820          -             86   0.00011   21.0   0.0   1   1   1.1e-06   0.00023   20.0   0.0     1    66    13    81    13    91 0.86 | transcript=PVW1_070038500_t1 | gene=PVW1_070038500 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB28] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB28] | location=CAJZCX010000011:1415765-1417942(+) | protein_length=725 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 14892at5820          -             86   0.00015   20.5   0.2   1   3    0.0053       1.1    8.1   0.0     1    58   416   473   416   493 0.88 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 14892at5820          -             86   0.00015   20.5   0.2   2   3       3.5   7.4e+02   -0.9   0.0     8    25   571   588   563   596 0.82 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478165.1         -            754 14892at5820          -             86   0.00015   20.5   0.2   3   3    0.0076       1.6    7.6   0.0     5    67   685   749   681   752 0.80 | transcript=PVW1_110048300_t1 | gene=PVW1_110048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1834349-1837363(+) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478612.1         -            318 14892at5820          -             86   0.00017   20.4   0.0   1   1   1.7e-06   0.00035   19.4   0.0     1    65    92   159    92   167 0.86 | transcript=PVW1_080007500_t1 | gene=PVW1_080007500 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB72] | location=CAJZCX010000009:169507-172597(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477014.1         -            156 14892at5820          -             86   0.00017   20.3   0.2   1   1   1.2e-06   0.00025   19.8   0.2     1    77    10    95    10   107 0.78 | transcript=PVW1_090036300_t1 | gene=PVW1_090036300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCZ3] | location=CAJZCX010000007:1370808-1371278(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 14892at5820          -             86    0.0005   18.9   0.3   1   2       2.3   4.8e+02   -0.3   0.0     3    49    28    77    26    91 0.68 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475964.1         -            471 14892at5820          -             86    0.0005   18.9   0.3   2   2   1.5e-05    0.0032   16.3   0.1     5    62   117   176   113   193 0.75 | transcript=PVW1_130035400_t1 | gene=PVW1_130035400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1310034-1311703(+) | protein_length=471 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476258.1         -            119 14892at5820          -             86   0.00095   18.0   0.1   1   1   4.5e-06   0.00095   18.0   0.1     9    58    49   101    41   118 0.81 | transcript=PVW1_130049300_t1 | gene=PVW1_130049300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HJ83] | location=CAJZCX010000006:1961744-1962472(-) | protein_length=119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480823.1         -            192 14892at5820          -             86    0.0011   17.8   0.0   1   2   3.8e-05    0.0079   15.0   0.1     9    67    28    86    16   110 0.81 | transcript=PVW1_070040600_t1 | gene=PVW1_070040600 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | transcript_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | location=CAJZCX010000011:1467954-1468532(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480823.1         -            192 14892at5820          -             86    0.0011   17.8   0.0   2   2       1.2   2.5e+02    0.6   0.0     1    56   126   178   126   186 0.63 | transcript=PVW1_070040600_t1 | gene=PVW1_070040600 | organism=Plasmodium_vivax_PvW1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | transcript_product=U2 small nuclear ribonucleoprotein B'', putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HB42] | location=CAJZCX010000011:1467954-1468532(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479862.1         -            269 14892at5820          -             86    0.0011   17.7   0.4   1   2      0.81   1.7e+02    1.1   0.7    53    83    51    84    23    87 0.71 | transcript=PVW1_050024900_t1 | gene=PVW1_050024900 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | transcript_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | location=CAJZCX010000010:840499-842671(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479862.1         -            269 14892at5820          -             86    0.0011   17.7   0.4   2   2    0.0001     0.021   13.6   0.0     1    55   194   251   194   267 0.81 | transcript=PVW1_050024900_t1 | gene=PVW1_050024900 | organism=Plasmodium_vivax_PvW1 | gene_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | transcript_product=Eukaryotic translation initiation factor 3 subunit G [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8X2] | location=CAJZCX010000010:840499-842671(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480669.1         -            287 14892at5820          -             86    0.0052   15.6   0.6   1   2   0.00017     0.036   12.9   0.1    10    68    60   116    52   135 0.81 | transcript=PVW1_070034400_t1 | gene=PVW1_070034400 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | location=CAJZCX010000011:1258338-1260221(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480669.1         -            287 14892at5820          -             86    0.0052   15.6   0.6   2   2       1.4     3e+02    0.4   0.0     1    38   216   253   216   283 0.72 | transcript=PVW1_070034400_t1 | gene=PVW1_070034400 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | transcript_product=RNA-binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAY4] | location=CAJZCX010000011:1258338-1260221(+) | protein_length=287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 14892at5820          -             86    0.0064   15.3   0.0   1   2       4.4   9.3e+02   -1.2   0.1    33    82   921   971   903   976 0.77 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472241.1         -           1123 14892at5820          -             86    0.0064   15.3   0.0   2   2   3.1e-05    0.0064   15.3   0.0     1    77   988  1066   988  1075 0.85 | transcript=PVW1_140042200_t1 | gene=PVW1_140042200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1575877-1579248(+) | protein_length=1123 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476308.1         -            661 14892at5820          -             86    0.0064   15.3   0.0   1   1   0.00013     0.027   13.3   0.0     1    64   172   241   172   255 0.76 | transcript=PVW1_130052700_t1 | gene=PVW1_130052700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:2091993-2095426(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 14892at5820          -             86    0.0078   15.0   0.1   1   2      0.85   1.8e+02    1.1   0.0     2    47   640   686   639   710 0.56 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473529.1         -           1024 14892at5820          -             86    0.0078   15.0   0.1   2   2   0.00092      0.19   10.6   0.0     9    83   752   828   744   831 0.76 | transcript=PVW1_120047500_t1 | gene=PVW1_120047500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1790777-1794006(-) | protein_length=1024 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477646.1         -            181 14892at5820          -             86     0.019   13.8   0.1   1   1   0.00016     0.034   13.0   0.1     1    66    56   124    56   148 0.78 | transcript=PVW1_110017300_t1 | gene=PVW1_110017300 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZR6] | location=CAJZCX010000008:516751-518073(+) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479082.1         -            299 14892at5820          -             86      0.02   13.7   0.1   1   1   0.00027     0.056   12.3   0.1    13    66    54   110    42   127 0.80 | transcript=PVW1_080026100_t1 | gene=PVW1_080026100 | organism=Plasmodium_vivax_PvW1 | gene_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | transcript_product=RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWK1] | location=CAJZCX010000009:962142-963476(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
