#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473823.1         -            177 12402at5820          -            157  1.6e-105  347.9  12.4   1   1  4.7e-108  1.9e-105  347.7  12.4     1   157     8   164     8   164 1.00 | transcript=PVW1_120070100_t1 | gene=PVW1_120070100 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcineurin subunit B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H255] | transcript_product=Calcineurin subunit B, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H255] | location=CAJZCX010000004:2734372-2735803(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476883.1         -           1607 12402at5820          -            157   3.3e-07   28.5   1.1   2   2   8.1e-10   3.3e-07   28.5   1.1    18   121  1463  1566  1451  1603 0.74 | transcript=PVW1_090028000_t1 | gene=PVW1_090028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1030038-1035762(+) | protein_length=1607 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476583.1         -            167 12402at5820          -            157   8.8e-07   27.1   5.1   1   1   2.7e-09   1.1e-06   26.8   5.1    18   156    14   151     3   152 0.84 | transcript=PVW1_090011400_t1 | gene=PVW1_090011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | transcript_product=Centrin-4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCC6] | location=CAJZCX010000007:366712-367488(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476647.1         -            344 12402at5820          -            157   1.1e-05   23.6  11.7   1   2    0.0013      0.52    8.4   0.5    95   154    67   121    43   124 0.75 | transcript=PVW1_090014500_t1 | gene=PVW1_090014500 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | transcript_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | location=CAJZCX010000007:505379-506413(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476647.1         -            344 12402at5820          -            157   1.1e-05   23.6  11.7   2   2   5.9e-07   0.00024   19.2   5.0    17   115   134   237   125   258 0.78 | transcript=PVW1_090014500_t1 | gene=PVW1_090014500 | organism=Plasmodium_vivax_PvW1 | gene_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | transcript_product=Endoplasmic reticulum-resident calcium binding protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCQ6] | location=CAJZCX010000007:505379-506413(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 12402at5820          -            157   8.3e-05   20.7   8.6   1   2       2.3   9.3e+02   -2.2   0.1    17    45    96   124    92   141 0.80 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483417.1         -            529 12402at5820          -            157   8.3e-05   20.7   8.6   2   2   4.4e-07   0.00018   19.7   5.0    15   157   373   523   359   523 0.72 | transcript=PVW1_030020500_t1 | gene=PVW1_030020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | transcript_product=Calcium-dependent protein kinase 4, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7J0] | location=CAJZCX010000014:680985-682739(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476886.1         -           1968 12402at5820          -            157   0.00025   19.2   0.6   1   1   1.4e-06   0.00057   18.0   0.6    56   116    66   125     9   137 0.71 | transcript=PVW1_090028300_t1 | gene=PVW1_090028300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1067021-1073086(+) | protein_length=1968 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483956.1         -           1491 12402at5820          -            157    0.0015   16.7   0.3   1   2   1.5e-05    0.0062   14.6   0.1     7    96    17   107    12   120 0.78 | transcript=PVW1_020012100_t1 | gene=PVW1_020012100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:360166-365708(-) | protein_length=1491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483956.1         -           1491 12402at5820          -            157    0.0015   16.7   0.3   2   2       2.3   9.4e+02   -2.2   0.0   115   131  1135  1151  1124  1163 0.81 | transcript=PVW1_020012100_t1 | gene=PVW1_020012100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:360166-365708(-) | protein_length=1491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482387.1         -            526 12402at5820          -            157    0.0025   15.9   6.9   1   1   4.2e-05     0.017   13.2   6.9    21   156   377   516   358   517 0.69 | transcript=PVW1_040013600_t1 | gene=PVW1_040013600 | organism=Plasmodium_vivax_PvW1 | gene_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | transcript_product=Calcium-dependent protein kinase 1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H866] | location=CAJZCX010000013:399682-401946(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12402at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12402at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12402at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:44 2026
# [ok]
