#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9478831.1         -            188 12151at5820          -            140   1.2e-82  273.4   5.8   1   1   9.6e-82   5.3e-79  261.6   5.8     1   140     1   167     1   167 0.92 | transcript=PVW1_080015900_t1 | gene=PVW1_080015900 | organism=Plasmodium_vivax_PvW1 | gene_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | transcript_product=Ankyrin-repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HBH4] | location=CAJZCX010000009:520383-522129(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 12151at5820          -            140   5.2e-09   34.8   0.5   2   4   9.6e-06    0.0053   15.4   0.0    11    96    61   150    51   155 0.81 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 12151at5820          -            140   5.2e-09   34.8   0.5   3   4   9.8e-06    0.0054   15.3   0.0    40    92   159   212   154   224 0.88 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481770.1         -            482 12151at5820          -            140   5.2e-09   34.8   0.5   4   4       3.9   2.1e+03   -2.8   0.0    85   109   339   363   332   374 0.68 | transcript=PVW1_060025300_t1 | gene=PVW1_060025300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:835079-836920(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476780.1         -            366 12151at5820          -            140   6.4e-06   24.8   0.1   1   1   2.4e-08   1.3e-05   23.8   0.1    41    95   287   342   258   349 0.87 | transcript=PVW1_090024200_t1 | gene=PVW1_090024200 | organism=Plasmodium_vivax_PvW1 | gene_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | transcript_product=ACB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCP2] | location=CAJZCX010000007:866739-867839(-) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 12151at5820          -            140   2.3e-05   23.0   8.2   1   4   0.00012     0.066   11.8   1.3    52    97    85   131    40   138 0.85 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 12151at5820          -            140   2.3e-05   23.0   8.2   2   4   3.9e-05     0.022   13.4   0.2    39    91   138   191   131   202 0.85 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 12151at5820          -            140   2.3e-05   23.0   8.2   3   4       0.9     5e+02   -0.7   0.0    72    90   207   225   190   251 0.75 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471953.1         -            400 12151at5820          -            140   2.3e-05   23.0   8.2   4   4       1.4   7.6e+02   -1.3   0.0    99   111   331   343   306   346 0.78 | transcript=PVW1_140021100_t1 | gene=PVW1_140021100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:725708-726910(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 12151at5820          -            140   0.00025   19.7  17.5   1   5       7.8   4.3e+03   -3.8   0.1     4    26  1126  1148  1125  1150 0.88 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 12151at5820          -            140   0.00025   19.7  17.5   2   5      0.19   1.1e+02    1.4   0.0    56    98  1203  1246  1191  1266 0.78 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 12151at5820          -            140   0.00025   19.7  17.5   3   5      0.24   1.3e+02    1.1   0.3    49    96  1462  1513  1448  1541 0.65 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 12151at5820          -            140   0.00025   19.7  17.5   4   5   4.7e-05     0.026   13.1   0.1    24    96  1568  1648  1557  1653 0.63 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477808.1         -           1848 12151at5820          -            140   0.00025   19.7  17.5   5   5   0.00014     0.076   11.6   1.9    40   116  1657  1745  1649  1758 0.75 | transcript=PVW1_110028000_t1 | gene=PVW1_110028000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1016586-1022132(-) | protein_length=1848 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473512.1         -            641 12151at5820          -            140   0.00028   19.5   0.0   1   1   1.2e-06   0.00067   18.3   0.0    38    93    78   134    42   144 0.85 | transcript=PVW1_120046600_t1 | gene=PVW1_120046600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:1734366-1737130(-) | protein_length=641 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 12151at5820          -            140    0.0022   16.6   2.6   1   2     5e-05     0.028   13.0   0.4    47    95    21    69    10    76 0.84 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479697.1         -            185 12151at5820          -            140    0.0022   16.6   2.6   2   2     0.045        25    3.5   0.1    71    96   113   138    82   174 0.75 | transcript=PVW1_050014100_t1 | gene=PVW1_050014100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:439620-441063(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475043.1         -           1569 12151at5820          -            140     0.043   12.4   0.4   1   2      0.23   1.3e+02    1.2   0.0    67    95   868   896   853   916 0.63 | transcript=PVW1_100049900_t1 | gene=PVW1_100049900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2040043-2044752(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475043.1         -           1569 12151at5820          -            140     0.043   12.4   0.4   2   2    0.0012      0.68    8.5   0.0    42    95  1212  1266  1204  1298 0.85 | transcript=PVW1_100049900_t1 | gene=PVW1_100049900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:2040043-2044752(-) | protein_length=1569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:55 2026
# [ok]
