#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475760.1         -            378 7976at5820           -            295  2.8e-144  478.4  23.1   1   1  5.2e-147  3.5e-144  478.1  23.1     1   295    36   374    36   374 0.94 | transcript=PVW1_130027200_t1 | gene=PVW1_130027200 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIQ9] | location=CAJZCX010000006:996469-999981(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473392.1         -            481 7976at5820           -            295   6.6e-32  109.5  55.6   1   4   7.5e-09     5e-06   24.6   9.3    42   118    67   150    38   154 0.79 | transcript=PVW1_120037600_t1 | gene=PVW1_120037600 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | location=CAJZCX010000004:1368960-1370405(-) | protein_length=481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473392.1         -            481 7976at5820           -            295   6.6e-32  109.5  55.6   2   4     2e-12   1.3e-09   36.3   8.9    54   129   151   230   146   234 0.85 | transcript=PVW1_120037600_t1 | gene=PVW1_120037600 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | location=CAJZCX010000004:1368960-1370405(-) | protein_length=481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473392.1         -            481 7976at5820           -            295   6.6e-32  109.5  55.6   3   4   6.3e-19   4.3e-16   57.6  20.7     6   131   224   355   219   364 0.88 | transcript=PVW1_120037600_t1 | gene=PVW1_120037600 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | location=CAJZCX010000004:1368960-1370405(-) | protein_length=481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473392.1         -            481 7976at5820           -            295   6.6e-32  109.5  55.6   4   4    0.0012       0.8    7.5   0.2    75   272   371   413   362   427 0.59 | transcript=PVW1_120037600_t1 | gene=PVW1_120037600 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | transcript_product=CPW-WPC family protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGM5] | location=CAJZCX010000004:1368960-1370405(-) | protein_length=481 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477753.1         -            282 7976at5820           -            295   2.8e-22   77.9  10.5   1   2   5.5e-16   3.7e-13   48.0   6.3    52   127   123   202    95   203 0.80 | transcript=PVW1_110025000_t1 | gene=PVW1_110025000 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | location=CAJZCX010000008:852761-855014(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477753.1         -            282 7976at5820           -            295   2.8e-22   77.9  10.5   2   2   5.1e-12   3.4e-09   35.0   0.5   220   277   195   257   189   277 0.78 | transcript=PVW1_110025000_t1 | gene=PVW1_110025000 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZP7] | location=CAJZCX010000008:852761-855014(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474745.1         -            250 7976at5820           -            295   8.9e-20   69.7  24.0   1   2   1.1e-18   7.2e-16   56.9  10.3    57   131    93   177    79   181 0.86 | transcript=PVW1_100027000_t1 | gene=PVW1_100027000 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYA1] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYA1] | location=CAJZCX010000005:1073731-1075857(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474745.1         -            250 7976at5820           -            295   8.9e-20   69.7  24.0   2   2   2.9e-09     2e-06   25.9   5.8    57   115   160   223   160   234 0.88 | transcript=PVW1_100027000_t1 | gene=PVW1_100027000 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYA1] | transcript_product=CPW-WPC family protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYA1] | location=CAJZCX010000005:1073731-1075857(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477859.1         -            185 7976at5820           -            295   7.1e-08   30.6   1.3   1   1   1.5e-10     1e-07   30.1   1.3   218   281   100   163    66   181 0.82 | transcript=PVW1_110030800_t1 | gene=PVW1_110030800 | organism=Plasmodium_vivax_PvW1 | gene_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | transcript_product=CPW_WPC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZY0] | location=CAJZCX010000008:1129484-1131250(-) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7976at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7976at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7976at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:30 2026
# [ok]
