#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474810.1         -            301 11117at5820          -            234    2e-112  372.6  49.8   1   2  6.7e-100   4.5e-97  322.4  40.0     1   180     8   197     8   208 0.93 | transcript=PVW1_100032100_t1 | gene=PVW1_100032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | transcript_product=Inner membrane complex protein 1g, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYH1] | location=CAJZCX010000005:1266349-1267254(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477761.1         -            808 11117at5820          -            234    0.0012   16.6   3.5   1   2     2e-05     0.014   13.2   4.4    69   174   148   255   116   269 0.60 | transcript=PVW1_110025800_t1 | gene=PVW1_110025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:901021-903447(-) | protein_length=808 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477761.1         -            808 11117at5820          -            234    0.0012   16.6   3.5   2   2      0.67   4.5e+02   -1.6   0.0   163   199   416   452   407   459 0.86 | transcript=PVW1_110025800_t1 | gene=PVW1_110025800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:901021-903447(-) | protein_length=808 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482364.1         -            542 11117at5820          -            234     0.024   12.3   0.5   1   2       2.1   1.4e+03   -3.3   0.0     3    21     6    24     5    34 0.83 | transcript=PVW1_040012700_t1 | gene=PVW1_040012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:371067-372695(+) | protein_length=542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482364.1         -            542 11117at5820          -            234     0.024   12.3   0.5   2   2   0.00011     0.076   10.7   0.1   175   227   379   431   373   434 0.88 | transcript=PVW1_040012700_t1 | gene=PVW1_040012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:371067-372695(+) | protein_length=542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476039.1         -            390 11117at5820          -            234     0.033   11.9  17.1   1   1   7.7e-05     0.052   11.2  17.1    36   124    72   167    67   172 0.80 | transcript=PVW1_130038300_t1 | gene=PVW1_130038300 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1l, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3I0] | transcript_product=Inner membrane complex protein 1l, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3I0] | location=CAJZCX010000006:1454746-1455918(-) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481648.1         -            371 11117at5820          -            234      0.68    7.6  20.6   1   1    0.0026       1.8    6.2  20.6    26   108    38   118    28   148 0.81 | transcript=PVW1_060020400_t1 | gene=PVW1_060020400 | organism=Plasmodium_vivax_PvW1 | gene_product=Inner membrane complex protein 1m, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W2] | transcript_product=Inner membrane complex protein 1m, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9W2] | location=CAJZCX010000012:655804-657059(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11117at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11117at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:26 2026
# [ok]
