#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9474044.1         -            928 3557at5820           -            694         0 1100.1  77.8   1   3   3.2e-85   3.2e-82  275.6  11.0     1   247     1   259     1   269 0.81 | transcript=PVW1_120085200_t1 | gene=PVW1_120085200 | organism=Plasmodium_vivax_PvW1 | gene_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | transcript_product=HA2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHY9] | location=CAJZCX010000004:3413671-3416457(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480540.1         -            840 3557at5820           -            694   1.2e-42  144.8   8.1   1   3     3e-14     3e-11   41.0   0.6    10   169   185   355   177   361 0.68 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480540.1         -            840 3557at5820           -            694   1.2e-42  144.8   8.1   2   3    0.0001       0.1    9.5   0.2   277   328   369   419   365   433 0.86 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480540.1         -            840 3557at5820           -            694   1.2e-42  144.8   8.1   3   3     2e-31     2e-28   97.8   0.1   359   685   478   812   460   820 0.84 | transcript=PVW1_070022600_t1 | gene=PVW1_070022600 | organism=Plasmodium_vivax_PvW1 | gene_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | transcript_product=RNA helicase [Source:UniProtKB/TrEMBL;Acc:A0A564ZTR7] | location=CAJZCX010000011:803366-805888(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 3557at5820           -            694   5.3e-42  142.7  45.0   1   4         6   6.1e+03   -7.1   3.7   195   257    49   114    20   132 0.64 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 3557at5820           -            694   5.3e-42  142.7  45.0   2   4   3.5e-12   3.6e-09   34.2   1.8    10   168   393   562   384   566 0.81 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 3557at5820           -            694   5.3e-42  142.7  45.0   3   4   1.3e-05     0.013   12.5   0.7   277   329   577   628   573   633 0.89 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472386.1         -           1088 3557at5820           -            694   5.3e-42  142.7  45.0   4   4   3.3e-37   3.4e-34  116.9  16.8   358   675   737  1066   720  1086 0.80 | transcript=PVW1_140056100_t1 | gene=PVW1_140056100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2226174-2229440(-) | protein_length=1088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3557at5820           -            694   2.5e-30  104.1  16.0   1   3   6.6e-13   6.7e-10   36.6   1.5    87   167   111   192   107   195 0.89 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3557at5820           -            694   2.5e-30  104.1  16.0   2   3     3e-16     3e-13   47.6   0.2   358   533   404   578   387   588 0.84 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479753.1         -            844 3557at5820           -            694   2.5e-30  104.1  16.0   3   3   2.3e-10   2.3e-07   28.2   2.0   537   686   663   820   657   827 0.81 | transcript=PVW1_050018000_t1 | gene=PVW1_050018000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:573637-576494(+) | protein_length=844 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:25 2026
# [ok]
