#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473544.1         -            339 11485at5820          -            260  2.2e-131  435.4  32.3   1   2   2.8e-23   9.4e-21   72.8   0.1     1    46     1    46     1    71 0.91 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 11485at5820          -            260   6.7e-11   40.5   1.3   1   3     2e-13   6.7e-11   40.5   1.3     6    83    32    97    28   102 0.87 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 11485at5820          -            260   6.7e-11   40.5   1.3   2   3       3.1   1.1e+03   -2.8   1.5   158   180   177   200   170   279 0.62 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 11485at5820          -            260   6.7e-11   40.5   1.3   3   3       1.1   3.6e+02   -1.2   1.0   124   194   349   425   343   464 0.69 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472027.1         -            720 11485at5820          -            260   2.6e-10   38.6   0.0   1   1   2.7e-12   9.1e-10   36.8   0.0     4    83   125   195   122   203 0.86 | transcript=PVW1_140026000_t1 | gene=PVW1_140026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:913807-915969(-) | protein_length=720 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483282.1         -            654 11485at5820          -            260   2.7e-10   38.5   0.1   1   1     2e-12   6.8e-10   37.2   0.1     8    90    84   156    78   160 0.88 | transcript=PVW1_030015800_t1 | gene=PVW1_030015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:522664-524628(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475530.1         -            421 11485at5820          -            260   3.7e-09   34.8   2.4   1   2   1.1e-11   3.7e-09   34.8   2.4     6    85    25    91    20   102 0.85 | transcript=PVW1_130018400_t1 | gene=PVW1_130018400 | organism=Plasmodium_vivax_PvW1 | gene_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | transcript_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | location=CAJZCX010000006:617512-619342(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475530.1         -            421 11485at5820          -            260   3.7e-09   34.8   2.4   2   2       2.1   7.2e+02   -2.2   0.5   211   228   351   368   333   400 0.58 | transcript=PVW1_130018400_t1 | gene=PVW1_130018400 | organism=Plasmodium_vivax_PvW1 | gene_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | transcript_product=HSP40, subfamily A, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIP4] | location=CAJZCX010000006:617512-619342(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 11485at5820          -            260   1.4e-08   32.9   0.2   1   1     1e-10   3.5e-08   31.6   0.2     8    98   299   379   295   394 0.82 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 11485at5820          -            260     3e-08   31.8   3.9   1   1   2.4e-10   8.1e-08   30.4   3.9     4    97    51   134    49   197 0.81 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480555.1         -            378 11485at5820          -            260   4.7e-08   31.2   0.8   1   3   1.4e-10   4.7e-08   31.2   0.8     8    89    53   124    49   132 0.87 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480555.1         -            378 11485at5820          -            260   4.7e-08   31.2   0.8   2   3       2.6   8.9e+02   -2.5   1.9   190   233   259   301   234   325 0.48 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480555.1         -            378 11485at5820          -            260   4.7e-08   31.2   0.8   3   3       2.1     7e+02   -2.2   2.4   193   236   312   355   295   363 0.69 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475165.1         -            177 11485at5820          -            260   3.3e-05   21.8   1.4   1   2   3.3e-07   0.00011   20.1   0.0     1    49     1    49     1    59 0.90 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475165.1         -            177 11485at5820          -            260   3.3e-05   21.8   1.4   2   2      0.35   1.2e+02    0.3   0.6   147   180    94   127    71   135 0.63 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 11485at5820          -            260   0.00016   19.6  15.4   1   3      0.65   2.2e+02   -0.5   0.1    63    87   117   142   115   149 0.74 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 11485at5820          -            260   0.00016   19.6  15.4   2   3   4.6e-07   0.00016   19.6  15.4     6   132   189   316   185   440 0.71 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 11485at5820          -            260   0.00016   19.6  15.4   3   3         4   1.4e+03   -3.1   4.2   180   193   443   456   402   522 0.42 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477700.1         -            201 11485at5820          -            260     0.098   10.4  10.1   1   1   0.00098      0.33    8.7  10.1     8    79     2    65     1   172 0.70 | transcript=PVW1_110020700_t1 | gene=PVW1_110020700 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM3] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZM3] | location=CAJZCX010000008:682406-684038(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11485at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11485at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11485at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:08 2026
# [ok]
