#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472381.1         -            213 10977at5820          -            198  2.4e-141  466.3   0.8   1   1  8.2e-144  2.8e-141  466.2   0.8     1   198     1   198     1   198 1.00 | transcript=PVW1_140055600_t1 | gene=PVW1_140055600 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | transcript_product=Ras-related protein Rab-2, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HL24] | location=CAJZCX010000003:2198218-2199682(+) | protein_length=213 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476751.1         -            214 10977at5820          -            198   2.2e-24   84.5   0.0   1   1   8.3e-27   2.8e-24   84.2   0.0     4   168     4   168     1   175 0.92 | transcript=PVW1_090022900_t1 | gene=PVW1_090022900 | organism=Plasmodium_vivax_PvW1 | gene_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | transcript_product=GTP-binding nuclear protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXG3] | location=CAJZCX010000007:818802-819622(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473169.1         -            224 10977at5820          -            198   4.9e-08   31.2   0.2   1   1   2.3e-10   7.8e-08   30.5   0.2    79   179   110   215    95   221 0.81 | transcript=PVW1_120021300_t1 | gene=PVW1_120021300 | organism=Plasmodium_vivax_PvW1 | gene_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | transcript_product=GTPase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGF7] | location=CAJZCX010000004:738882-741025(-) | protein_length=224 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481356.1         -            181 10977at5820          -            198   8.8e-08   30.4   0.0   1   1   2.8e-10   9.6e-08   30.3   0.0    46   133    51   139    18   171 0.85 | transcript=PVW1_060012400_t1 | gene=PVW1_060012400 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | transcript_product=ADP-ribosylation factor [Source:UniProtKB/TrEMBL;Acc:A0A1G4GU81] | location=CAJZCX010000012:309424-310885(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481792.1         -            178 10977at5820          -            198   4.2e-06   24.9   0.1   1   1   1.3e-08   4.4e-06   24.8   0.1    47    97    52   102    18   176 0.73 | transcript=PVW1_060026300_t1 | gene=PVW1_060026300 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUN0] | location=CAJZCX010000012:869770-870306(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477961.1         -            452 10977at5820          -            198   9.7e-06   23.7   0.5   1   3     0.024         8    4.4   0.0     9    31     5    26     2    35 0.81 | transcript=PVW1_110038200_t1 | gene=PVW1_110038200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | transcript_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | location=CAJZCX010000008:1418799-1420157(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477961.1         -            452 10977at5820          -            198   9.7e-06   23.7   0.5   2   3       0.6     2e+02   -0.2   0.1   130   172    45    87    33    95 0.68 | transcript=PVW1_110038200_t1 | gene=PVW1_110038200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | transcript_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | location=CAJZCX010000008:1418799-1420157(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477961.1         -            452 10977at5820          -            198   9.7e-06   23.7   0.5   3   3   9.7e-06    0.0033   15.4   0.0    53   111   153   211   138   222 0.87 | transcript=PVW1_110038200_t1 | gene=PVW1_110038200 | organism=Plasmodium_vivax_PvW1 | gene_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | transcript_product=Ras GTPAse, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI8] | location=CAJZCX010000008:1418799-1420157(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473987.1         -            185 10977at5820          -            198   7.1e-05   20.9   0.1   1   1   2.3e-07   7.8e-05   20.8   0.1    30   126    34   131    13   180 0.74 | transcript=PVW1_120079900_t1 | gene=PVW1_120079900 | organism=Plasmodium_vivax_PvW1 | gene_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | transcript_product=ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H2E7] | location=CAJZCX010000004:3172685-3173504(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479935.1         -            191 10977at5820          -            198    0.0011   16.9   0.0   1   1   4.5e-06    0.0015   16.5   0.0    19   124    32   133    20   158 0.74 | transcript=PVW1_050031400_t1 | gene=PVW1_050031400 | organism=Plasmodium_vivax_PvW1 | gene_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | transcript_product=Small GTP-binding protein sar1, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTR7] | location=CAJZCX010000010:1088933-1089924(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10977at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10977at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10977at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:01 2026
# [ok]
