#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479169.1         -           2121 374at5820            -           1549         0 2461.8  89.9   1   7  1.5e-207  1.5e-204  680.6   4.5    28   416    92   525    85   529 0.92 | transcript=PVW1_080030600_t1 | gene=PVW1_080030600 | organism=Plasmodium_vivax_PvW1 | gene_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | transcript_product=Circumsporozoite-and TRAP-related protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H682] | location=CAJZCX010000009:1160535-1166900(-) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477967.1         -           1460 374at5820            -           1549   1.4e-11   40.9   8.5   2   2   1.6e-12   1.6e-09   34.1   0.3    34   170   325   463   302   493 0.79 | transcript=PVW1_110038400_t1 | gene=PVW1_110038400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:1423938-1428320(-) | protein_length=1460 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484130.1         -            159 374at5820            -           1549   4.6e-06   22.7   5.7   1   1   5.3e-09   5.4e-06   22.5   5.7  1294  1372    47   123    33   139 0.62 | transcript=PVW1_020018300_t1 | gene=PVW1_020018300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:586635-587592(-) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479320.1         -            368 374at5820            -           1549    0.0017   14.2   0.2   1   1   2.2e-06    0.0022   13.8   0.2  1172  1263   302   345   284   352 0.55 | transcript=PVW1_080041300_t1 | gene=PVW1_080041300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:1562493-1563599(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:30 2026
# [ok]
