#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9483172.1         -            353 7798at5820           -            253  1.9e-109  363.4  22.4   1   1  6.8e-112  4.6e-109  362.1  22.4     8   252    55   345    34   346 0.86 | transcript=PVW1_030010800_t1 | gene=PVW1_030010800 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H793] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H793] | location=CAJZCX010000014:300091-301152(-) | protein_length=353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482620.1         -           2215 7798at5820           -            253   1.7e-33  114.5  54.9   3   7      0.22   1.5e+02    0.1   0.0   138   187   657   705   652   722 0.68 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482620.1         -           2215 7798at5820           -            253   1.7e-33  114.5  54.9   4   7   4.1e-06    0.0027   15.6   2.6    97   243   820   966   806   970 0.74 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482620.1         -           2215 7798at5820           -            253   1.7e-33  114.5  54.9   5   7   2.5e-14   1.7e-11   42.5   9.5    64   244  1136  1330  1121  1338 0.71 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482620.1         -           2215 7798at5820           -            253   1.7e-33  114.5  54.9   6   7     1e-08   6.8e-06   24.1   6.1   146   248  1620  1724  1536  1728 0.82 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482620.1         -           2215 7798at5820           -            253   1.7e-33  114.5  54.9   7   7   1.2e-12   8.1e-10   37.0   2.7    64   197  1988  2127  1945  2170 0.79 | transcript=PVW1_040022300_t1 | gene=PVW1_040022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | transcript_product=Transmission-blocking target antigen s230 paralog, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GSW9] | location=CAJZCX010000013:738122-744769(-) | protein_length=2215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483174.1         -            487 7798at5820           -            253   2.8e-19   68.0  14.7   1   1   7.6e-22   5.1e-19   67.1  14.7    16   243    28   280    17   288 0.74 | transcript=PVW1_030010900_t1 | gene=PVW1_030010900 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7A5] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7A5] | location=CAJZCX010000014:303054-304517(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483185.1         -            384 7798at5820           -            253   3.1e-13   48.2   3.7   1   2    0.0082       5.5    4.8   2.5    30   127    40   132    23   156 0.82 | transcript=PVW1_030011400_t1 | gene=PVW1_030011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | transcript_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | location=CAJZCX010000014:334439-335593(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483185.1         -            384 7798at5820           -            253   3.1e-13   48.2   3.7   2   2   4.6e-16   3.1e-13   48.2   3.7   111   244   223   356   221   362 0.73 | transcript=PVW1_030011400_t1 | gene=PVW1_030011400 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | transcript_product=Pv41 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L3P4] | location=CAJZCX010000014:334439-335593(-) | protein_length=384 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483176.1         -            372 7798at5820           -            253   2.2e-11   42.1  16.2   1   1   3.2e-13   2.2e-10   38.9  16.2    30   243    43   284    12   293 0.73 | transcript=PVW1_030011000_t1 | gene=PVW1_030011000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:305953-307071(-) | protein_length=372 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475046.1         -            355 7798at5820           -            253   3.7e-10   38.1  12.9   1   2   5.6e-10   3.8e-07   28.2   9.0    36   193    57   219    48   233 0.80 | transcript=PVW1_100050100_t1 | gene=PVW1_100050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | transcript_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | location=CAJZCX010000005:2047160-2048227(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475046.1         -            355 7798at5820           -            253   3.7e-10   38.1  12.9   2   2   8.3e-05     0.056   11.3   0.1    76   157   249   329   242   333 0.83 | transcript=PVW1_100050100_t1 | gene=PVW1_100050100 | organism=Plasmodium_vivax_PvW1 | gene_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | transcript_product=Pv38 [Source:UniProtKB/TrEMBL;Acc:A0A0B4L1K3] | location=CAJZCX010000005:2047160-2048227(+) | protein_length=355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478046.1         -            362 7798at5820           -            253     9e-08   30.3  10.1   1   2   7.2e-05     0.048   11.5   1.6   132   196    22    88    13   168 0.85 | transcript=PVW1_110042200_t1 | gene=PVW1_110042200 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | location=CAJZCX010000008:1586105-1587193(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478046.1         -            362 7798at5820           -            253     9e-08   30.3  10.1   2   2   1.9e-07   0.00013   19.9   4.0   133   189   192   255   131   304 0.79 | transcript=PVW1_110042200_t1 | gene=PVW1_110042200 | organism=Plasmodium_vivax_PvW1 | gene_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | transcript_product=6-cysteine protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFM7] | location=CAJZCX010000008:1586105-1587193(+) | protein_length=362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473184.1         -            433 7798at5820           -            253   8.4e-05   20.6   4.2   1   3      0.03        20    2.9   0.4   156   243    51   147    29   153 0.56 | transcript=PVW1_120022600_t1 | gene=PVW1_120022600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:792032-793333(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473184.1         -            433 7798at5820           -            253   8.4e-05   20.6   4.2   2   3     0.047        32    2.3   2.7    95   145   131   189   103   253 0.59 | transcript=PVW1_120022600_t1 | gene=PVW1_120022600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:792032-793333(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473184.1         -            433 7798at5820           -            253   8.4e-05   20.6   4.2   3   3   1.2e-07   8.4e-05   20.6   4.2   115   192   262   343   204   397 0.78 | transcript=PVW1_120022600_t1 | gene=PVW1_120022600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:792032-793333(+) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7798at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:51 2026
# [ok]
