#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9485099.1         -            564 5519at5820           -            481         0 1080.1   6.3   1   1         0         0 1077.0   6.3     1   481     1   564     1   564 0.99 | transcript=PVW1_010021800_t1 | gene=PVW1_010021800 | organism=Plasmodium_vivax_PvW1 | gene_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | transcript_product=Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6K2] | location=CAJZCX010000016:755455-757677(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473598.1         -            381 5519at5820           -            481   7.5e-07   26.1   0.9   1   1   1.7e-09     1e-06   25.6   0.9    75   217    67   233    42   259 0.69 | transcript=PVW1_120052200_t1 | gene=PVW1_120052200 | organism=Plasmodium_vivax_PvW1 | gene_product=Metallophos domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH25] | transcript_product=Metallophos domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HH25] | location=CAJZCX010000004:1956302-1957447(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5519at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5519at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5519at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:08 2026
# [ok]
