#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484005.1         -            332 9364at5820           -            241  8.8e-121  400.7  14.5   1   3   2.9e-14   1.9e-11   42.7   0.1     1    32    23    54    23    61 0.93 | transcript=PVW1_020014300_t1 | gene=PVW1_020014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRD9] | location=CAJZCX010000015:420292-422552(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 9364at5820           -            241   2.2e-08   32.7  31.0   2   4   1.1e-10   7.6e-08   30.9   4.6    33   150    72   190    60   203 0.87 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 9364at5820           -            241   2.2e-08   32.7  31.0   3   4    0.0001     0.069   11.4   0.3     5    67   219   280   214   302 0.63 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483243.1         -            380 9364at5820           -            241   2.2e-08   32.7  31.0   4   4      0.18   1.2e+02    0.8   4.2    28    71   334   379   321   380 0.82 | transcript=PVW1_030013900_t1 | gene=PVW1_030013900 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRW1] | location=CAJZCX010000014:443294-444773(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 9364at5820           -            241   5.4e-08   31.4  18.5   1   4    0.0001     0.069   11.4   0.5     3    77    92   174    90   179 0.82 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 9364at5820           -            241   5.4e-08   31.4  18.5   2   4    0.0038       2.5    6.3   1.2   163   226   222   286   209   310 0.72 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 9364at5820           -            241   5.4e-08   31.4  18.5   3   4    0.0054       3.6    5.8   0.4   161   197   419   455   401   466 0.69 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480367.1         -            515 9364at5820           -            241   5.4e-08   31.4  18.5   4   4   5.3e-07   0.00036   18.9   0.3    31    71   466   506   454   513 0.86 | transcript=PVW1_070013800_t1 | gene=PVW1_070013800 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GUZ8] | location=CAJZCX010000011:470808-472544(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 9364at5820           -            241   7.1e-06   24.5   0.1   1   2   4.5e-06     0.003   15.9   0.0    91   239    48   209    30   211 0.66 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479709.1         -            318 9364at5820           -            241   7.1e-06   24.5   0.1   2   2   0.00014     0.095   11.0   0.1    90   217   142   287   127   309 0.63 | transcript=PVW1_050015300_t1 | gene=PVW1_050015300 | organism=Plasmodium_vivax_PvW1 | gene_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | transcript_product=Dicarboxylate/tricarboxylate carrier, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H8N2] | location=CAJZCX010000010:486145-487101(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 9364at5820           -            241   1.2e-05   23.7  11.8   1   6     0.015        10    4.3   0.0   159   188    13    46     4    59 0.68 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 9364at5820           -            241   1.2e-05   23.7  11.8   2   6         2   1.3e+03   -2.6   0.0    96   125    93   122    89   149 0.68 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 9364at5820           -            241   1.2e-05   23.7  11.8   3   6      0.26   1.7e+02    0.3   0.0   193   219   214   240   204   258 0.68 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 9364at5820           -            241   1.2e-05   23.7  11.8   4   6      0.32   2.1e+02   -0.0   0.0    12   187   304   323   289   340 0.57 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 9364at5820           -            241   1.2e-05   23.7  11.8   5   6    0.0002      0.13   10.5   3.1   108   207   338   454   317   457 0.69 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477463.1         -            494 9364at5820           -            241   1.2e-05   23.7  11.8   6   6   0.00049      0.33    9.2   0.1    39    73   456   490   450   494 0.87 | transcript=PVW1_110008700_t1 | gene=PVW1_110008700 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | transcript_product=Mitochondrial carrier protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HEV2] | location=CAJZCX010000008:172928-174412(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472307.1         -            306 9364at5820           -            241     2e-05   23.0   6.9   1   2    0.0042       2.8    6.2   2.2   112   141   124   153     5   162 0.62 | transcript=PVW1_140048300_t1 | gene=PVW1_140048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1895602-1896522(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472307.1         -            306 9364at5820           -            241     2e-05   23.0   6.9   2   2   2.3e-06    0.0015   16.8   0.2   164   236   225   302   217   306 0.65 | transcript=PVW1_140048300_t1 | gene=PVW1_140048300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:1895602-1896522(+) | protein_length=306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9364at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9364at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9364at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:52 2026
# [ok]
