#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9477692.1         -            877 2392at5820           -            678         0 1402.0  32.2   1   3   3.4e-26   1.9e-23   81.2   0.7     1    53     3    55     3    62 0.92 | transcript=PVW1_110019900_t1 | gene=PVW1_110019900 | organism=Plasmodium_vivax_PvW1 | gene_product=DNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZK5] | transcript_product=DNA helicase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZK5] | location=CAJZCX010000008:644945-647578(-) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485086.1         -           1091 2392at5820           -            678   1.8e-34  117.6  15.5   2   2   1.2e-14   6.4e-12   43.1   1.8   490   671   548   731   535   738 0.83 | transcript=PVW1_010021200_t1 | gene=PVW1_010021200 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:736935-740210(-) | protein_length=1091 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476543.1         -           1396 2392at5820           -            678   8.9e-34  115.3  13.9   1   1   1.3e-34   7.1e-32  109.0  13.8   203   636   315   782   296   802 0.72 | transcript=PVW1_090010100_t1 | gene=PVW1_090010100 | organism=Plasmodium_vivax_PvW1 | gene_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | transcript_product=Chromatin remodeling protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GX54] | location=CAJZCX010000007:307986-312941(-) | protein_length=1396 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 2392at5820           -            678   2.8e-31  107.0  29.3   1   4     0.034        19    1.9   0.7    33    65    16    49     5    58 0.82 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 2392at5820           -            678   2.8e-31  107.0  29.3   2   4   6.9e-17   3.8e-14   50.4   6.9   200   373   222   416   167   429 0.77 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 2392at5820           -            678   2.8e-31  107.0  29.3   3   4      0.15        83   -0.3   3.7   387   439   526   581   512   616 0.69 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479812.1         -           1106 2392at5820           -            678   2.8e-31  107.0  29.3   4   4   6.3e-22   3.5e-19   67.1   0.1   512   629   977  1092   965  1099 0.88 | transcript=PVW1_050021600_t1 | gene=PVW1_050021600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:724089-728412(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481457.1         -           3266 2392at5820           -            678   1.3e-28   98.3   9.9   1   1     2e-29   1.1e-26   91.9   9.9   199   625  1383  1856  1342  1866 0.67 | transcript=PVW1_060015500_t1 | gene=PVW1_060015500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:463219-473019(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482429.1         -           1595 2392at5820           -            678   1.7e-22   78.0  10.2   1   2   1.2e-16   6.7e-14   49.6   8.2   201   536   687  1077   650  1080 0.59 | transcript=PVW1_040015100_t1 | gene=PVW1_040015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:455532-460319(-) | protein_length=1595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482429.1         -           1595 2392at5820           -            678   1.7e-22   78.0  10.2   2   2     1e-08   5.7e-06   23.4   0.0   538   613  1114  1188  1110  1208 0.89 | transcript=PVW1_040015100_t1 | gene=PVW1_040015100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:455532-460319(-) | protein_length=1595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 2392at5820           -            678   7.6e-21   72.6  22.1   1   4   2.4e-05     0.013   12.3   0.0   194   238   218   266   201   272 0.79 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 2392at5820           -            678   7.6e-21   72.6  22.1   2   4       1.6   8.6e+02   -3.6   0.7   249   311   376   442   372   452 0.69 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 2392at5820           -            678   7.6e-21   72.6  22.1   3   4   0.00012     0.069    9.9   1.4   306   377   962  1031   953  1071 0.71 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472593.1         -           1589 2392at5820           -            678   7.6e-21   72.6  22.1   4   4     1e-20   5.8e-18   63.0   2.1   472   615  1419  1562  1403  1580 0.90 | transcript=PVW1_140074400_t1 | gene=PVW1_140074400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2956140-2961100(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473224.1         -           1529 2392at5820           -            678   1.4e-10   38.6   5.4   1   4       2.3   1.2e+03   -4.2   1.7    99   120   169   191   118   263 0.54 | transcript=PVW1_120026000_t1 | gene=PVW1_120026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:961488-966548(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473224.1         -           1529 2392at5820           -            678   1.4e-10   38.6   5.4   2   4    0.0061       3.4    4.3   0.0   221   240   726   745   723   757 0.89 | transcript=PVW1_120026000_t1 | gene=PVW1_120026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:961488-966548(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473224.1         -           1529 2392at5820           -            678   1.4e-10   38.6   5.4   3   4     0.063        35    1.0   0.0   305   352   959  1004   954  1012 0.79 | transcript=PVW1_120026000_t1 | gene=PVW1_120026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:961488-966548(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473224.1         -           1529 2392at5820           -            678   1.4e-10   38.6   5.4   4   4     1e-11   5.6e-09   33.4   0.0   541   627  1416  1501  1409  1518 0.88 | transcript=PVW1_120026000_t1 | gene=PVW1_120026000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:961488-966548(-) | protein_length=1529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2392at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2392at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2392at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:35 2026
# [ok]
