#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473553.1         -            543 6066at5820           -            462    2e-234  776.9  53.5   1   2   4.8e-76   3.6e-73  245.2  19.0     1   189    26   243    26   249 0.89 | transcript=PVW1_120048900_t1 | gene=PVW1_120048900 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGZ3] | location=CAJZCX010000004:1833960-1836136(+) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 6066at5820           -            462   3.9e-06   24.3  17.3   2   3   1.2e-06   0.00092   16.4   5.7    44   151   228   338   223   360 0.84 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476648.1         -            549 6066at5820           -            462   3.9e-06   24.3  17.3   3   3      0.88   6.7e+02   -2.9   0.0    29    63   362   396   358   449 0.58 | transcript=PVW1_090014600_t1 | gene=PVW1_090014600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:508668-510317(-) | protein_length=549 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473120.1         -            209 6066at5820           -            462   8.6e-05   19.8   0.8   1   2   1.6e-07   0.00012   19.3   0.1   348   417    50   111    43   141 0.75 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473120.1         -            209 6066at5820           -            462   8.6e-05   19.8   0.8   2   2         1   7.8e+02   -3.1   0.1    59    76   158   175   144   176 0.75 | transcript=PVW1_120017000_t1 | gene=PVW1_120017000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:565209-566229(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480627.1         -            133 6066at5820           -            462    0.0037   14.5   0.0   1   1   4.9e-06    0.0037   14.4   0.0   335   371    31    69    23   119 0.84 | transcript=PVW1_070030400_t1 | gene=PVW1_070030400 | organism=Plasmodium_vivax_PvW1 | gene_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | transcript_product=Thioredoxin domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GVJ6] | location=CAJZCX010000011:1111647-1112752(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6066at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6066at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6066at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:59 2026
# [ok]
