#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475165.1         -            177 13470at5820          -            123   5.3e-68  225.2   9.5   1   2     1e-21   2.8e-19   67.9   0.1     2    44     7    49     6    57 0.95 | transcript=PVW1_100056300_t1 | gene=PVW1_100056300 | organism=Plasmodium_vivax_PvW1 | gene_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | transcript_product=DnaJ protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZ85] | location=CAJZCX010000005:2291129-2291662(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472238.1         -           1079 13470at5820          -            123   1.5e-05   23.6   0.2   2   3         5   1.4e+03   -2.2   0.1    62    82   394   414   384   423 0.75 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472238.1         -           1079 13470at5820          -            123   1.5e-05   23.6   0.2   3   3       7.5   2.1e+03   -2.7   0.1    12    36   420   444   412   451 0.65 | transcript=PVW1_140041900_t1 | gene=PVW1_140041900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z7] | location=CAJZCX010000003:1566482-1569721(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483282.1         -            654 13470at5820          -            123   2.6e-05   22.8   0.1   1   1   1.7e-07   4.6e-05   22.0   0.1     1    44    82   125    82   154 0.77 | transcript=PVW1_030015800_t1 | gene=PVW1_030015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000014:522664-524628(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 13470at5820          -            123   2.7e-05   22.7   0.9   1   2   5.2e-07   0.00014   20.4   0.0     3    39     8    44     6    53 0.87 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473544.1         -            339 13470at5820          -            123   2.7e-05   22.7   0.9   2   2       1.9   5.1e+02   -0.8   0.2    53    78   233   257   222   264 0.70 | transcript=PVW1_120048300_t1 | gene=PVW1_120048300 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H1N0] | location=CAJZCX010000004:1816838-1817857(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477762.1         -            380 13470at5820          -            123   3.4e-05   22.4   0.7   1   1   3.3e-07   9.2e-05   21.0   0.7     4    68    47   108    44   138 0.75 | transcript=PVW1_110025900_t1 | gene=PVW1_110025900 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF68] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HF68] | location=CAJZCX010000008:909213-910355(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475500.1         -            245 13470at5820          -            123   3.4e-05   22.4   0.1   1   1   2.2e-07     6e-05   21.6   0.1     3    66     6    68     4    94 0.79 | transcript=PVW1_130017400_t1 | gene=PVW1_130017400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIN1] | location=CAJZCX010000006:572281-573923(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 13470at5820          -            123   3.6e-05   22.3   1.2   1   3       1.9   5.4e+02   -0.8   0.1    63    87     4    28     2    33 0.88 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 13470at5820          -            123   3.6e-05   22.3   1.2   2   3   1.3e-07   3.6e-05   22.3   1.2     2    81   190   266   189   302 0.76 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474838.1         -            529 13470at5820          -            123   3.6e-05   22.3   1.2   3   3       2.1   5.9e+02   -1.0   0.3    29    60   298   329   271   373 0.65 | transcript=PVW1_100034600_t1 | gene=PVW1_100034600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HDZ6] | location=CAJZCX010000005:1375350-1377271(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474067.1         -            406 13470at5820          -            123   0.00011   20.7   0.4   1   2   4.1e-07   0.00011   20.7   0.4     2    59    81   138    80   151 0.74 | transcript=PVW1_120086400_t1 | gene=PVW1_120086400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | location=CAJZCX010000004:3483400-3485241(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474067.1         -            406 13470at5820          -            123   0.00011   20.7   0.4   2   2         5   1.4e+03   -2.2   0.0    74    91   306   323   300   325 0.76 | transcript=PVW1_120086400_t1 | gene=PVW1_120086400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HI20] | location=CAJZCX010000004:3483400-3485241(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472247.1         -             84 13470at5820          -            123   0.00025   19.6   0.2   1   1   1.1e-06   0.00031   19.3   0.2    65   122    13    71     2    78 0.79 | transcript=PVW1_140042800_t1 | gene=PVW1_140042800 | organism=Plasmodium_vivax_PvW1 | gene_product=DPH-type MB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z5] | transcript_product=DPH-type MB domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4Z5] | location=CAJZCX010000003:1598194-1598448(-) | protein_length=84 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477211.1         -           2751 13470at5820          -            123   0.00055   18.5   6.1   1   2      0.39   1.1e+02    1.4   0.7    74   113   880   919   862   926 0.81 | transcript=PVW1_090047300_t1 | gene=PVW1_090047300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1895828-1904216(-) | protein_length=2751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477211.1         -           2751 13470at5820          -            123   0.00055   18.5   6.1   2   2   3.6e-06     0.001   17.7   0.5     3    62  1287  1350  1285  1368 0.76 | transcript=PVW1_090047300_t1 | gene=PVW1_090047300 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1895828-1904216(-) | protein_length=2751 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480555.1         -            378 13470at5820          -            123   0.00056   18.5   0.2   1   2     2e-06   0.00056   18.5   0.2     2    71    52   118    51   152 0.85 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480555.1         -            378 13470at5820          -            123   0.00056   18.5   0.2   2   2       3.7     1e+03   -1.8   0.2    78   117   178   219   160   261 0.63 | transcript=PVW1_070024000_t1 | gene=PVW1_070024000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HAL1] | location=CAJZCX010000011:865899-867834(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484311.1         -            420 13470at5820          -            123    0.0011   17.6   0.8   1   1   7.9e-06    0.0022   16.6   0.8     3    67    85   150    83   172 0.79 | transcript=PVW1_020024600_t1 | gene=PVW1_020024600 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GRL0] | location=CAJZCX010000015:884998-887023(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9485005.1         -            853 13470at5820          -            123    0.0057   15.2   0.2   1   1   4.5e-05     0.013   14.1   0.2     4    67   300   361   297   412 0.76 | transcript=PVW1_010018400_t1 | gene=PVW1_010018400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000016:600405-602966(+) | protein_length=853 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 13470at5820          -            123     0.026   13.1   0.4   1   3   9.6e-05     0.026   13.1   0.4     1    39    53    91    53   116 0.82 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 13470at5820          -            123     0.026   13.1   0.4   2   3       1.6   4.5e+02   -0.6   0.3    77   113   103   141    89   148 0.55 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476142.1         -            381 13470at5820          -            123     0.026   13.1   0.4   3   3       3.2     9e+02   -1.6   0.1     8    30   285   307   277   316 0.54 | transcript=PVW1_130041400_t1 | gene=PVW1_130041400 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3Q5] | location=CAJZCX010000006:1601914-1603428(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480566.1         -            289 13470at5820          -            123     0.027   13.0   2.7   1   3       5.6   1.5e+03   -2.3   0.1   110   118    90    98    82   101 0.78 | transcript=PVW1_070025000_t1 | gene=PVW1_070025000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV87] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV87] | location=CAJZCX010000011:903715-905900(-) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480566.1         -            289 13470at5820          -            123     0.027   13.0   2.7   2   3   0.00037       0.1   11.2   0.2    15    66   122   174   111   192 0.70 | transcript=PVW1_070025000_t1 | gene=PVW1_070025000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV87] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV87] | location=CAJZCX010000011:903715-905900(-) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480566.1         -            289 13470at5820          -            123     0.027   13.0   2.7   3   3      0.57   1.6e+02    0.9   0.0    49    68   261   280   220   287 0.78 | transcript=PVW1_070025000_t1 | gene=PVW1_070025000 | organism=Plasmodium_vivax_PvW1 | gene_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV87] | transcript_product=J domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GV87] | location=CAJZCX010000011:903715-905900(-) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13470at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:25 2026
# [ok]
