#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9473683.1         -            326 9005at5820           -            283  4.7e-147  487.0  30.0   1   2   3.5e-05      0.02   12.4   0.2     1    19     1    19     1    25 0.92 | transcript=PVW1_120060200_t1 | gene=PVW1_120060200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | transcript_product=MORN repeat protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHA3] | location=CAJZCX010000004:2340636-2342146(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476993.1         -           1017 9005at5820           -            283   2.1e-10   38.6  24.7   1   2   4.9e-06    0.0027   15.3   0.0    89   126   155   194   145   201 0.82 | transcript=PVW1_090035100_t1 | gene=PVW1_090035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1325338-1328391(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476993.1         -           1017 9005at5820           -            283   2.1e-10   38.6  24.7   2   2     1e-07   5.6e-05   20.8  23.0    32   195   190   362   189   365 0.83 | transcript=PVW1_090035100_t1 | gene=PVW1_090035100 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:1325338-1328391(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 9005at5820           -            283     5e-10   37.3   8.3   1   2   0.00086      0.47    7.9  16.3   135   181    44    93     4   109 0.58 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 9005at5820           -            283     5e-10   37.3   8.3   2   2   9.1e-13     5e-10   37.3   8.3    19   114   244   342   229   353 0.81 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475830.1         -            148 9005at5820           -            283   8.1e-07   26.8   8.0   1   1   3.5e-09   1.9e-06   25.6   7.6    36    97    12    73     6    80 0.88 | transcript=PVW1_130030200_t1 | gene=PVW1_130030200 | organism=Plasmodium_vivax_PvW1 | gene_product=MORN repeat-containing protein 5 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3A2] | transcript_product=MORN repeat-containing protein 5 [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3A2] | location=CAJZCX010000006:1121537-1122500(+) | protein_length=148 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476609.1         -           1327 9005at5820           -            283   1.9e-06   25.6   0.4   1   1   7.9e-09   4.3e-06   24.4   0.4    65   129    14    81     9   102 0.83 | transcript=PVW1_090012700_t1 | gene=PVW1_090012700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:410257-415127(+) | protein_length=1327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 9005at5820           -            283   7.9e-06   23.6   9.2   1   3   1.4e-08   7.9e-06   23.6   9.2   151   212    38   103    34   104 0.90 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 9005at5820           -            283   7.9e-06   23.6   9.2   2   3     0.047        26    2.2   0.7   152   209   108   166   100   173 0.76 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480633.1         -           1177 9005at5820           -            283   7.9e-06   23.6   9.2   3   3       5.2   2.8e+03   -4.5   0.7   174   200   242   268   212   271 0.71 | transcript=PVW1_070030900_t1 | gene=PVW1_070030900 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A564ZSL4] | location=CAJZCX010000011:1129151-1133217(+) | protein_length=1177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 9005at5820           -            283   0.00023   18.8   5.9   1   5     0.059        33    1.9   0.2   186   221    67   102    56   114 0.84 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 9005at5820           -            283   0.00023   18.8   5.9   2   5     0.035        19    2.6   5.5    46   105   135   201   102   208 0.71 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 9005at5820           -            283   0.00023   18.8   5.9   3   5     0.025        14    3.1   1.0   156   178   260   282   249   289 0.84 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 9005at5820           -            283   0.00023   18.8   5.9   4   5   4.2e-07   0.00023   18.8   5.9    45    97   296   349   287   394 0.77 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474953.1         -           1376 9005at5820           -            283   0.00023   18.8   5.9   5   5       1.6   8.6e+02   -2.8   1.9    70   125   826   880   791   885 0.62 | transcript=PVW1_100043400_t1 | gene=PVW1_100043400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1757219-1761349(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 9005at5820           -            283    0.0029   15.2   8.6   1   2   0.00013     0.071   10.6   1.8    46    81    17    53     9    76 0.65 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 9005at5820           -            283    0.0029   15.2   8.6   2   2    0.0012      0.65    7.4   0.8   176   201    94   119    72   138 0.77 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9005at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:32 2026
# [ok]
