#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9475575.1         -            854 2259at5820           -            765         0 1614.0  22.8   1   1         0         0 1611.8  22.8     1   761    13   836    13   839 0.96 | transcript=PVW1_130019800_t1 | gene=PVW1_130019800 | organism=Plasmodium_vivax_PvW1 | gene_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | transcript_product=cGMP-dependent protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HIH0] | location=CAJZCX010000006:663083-666911(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474809.1         -            288 2259at5820           -            765   2.4e-23   80.8   0.1   1   1   2.9e-25   3.2e-23   80.4   0.1   505   684    16   225     7   250 0.78 | transcript=PVW1_100032000_t1 | gene=PVW1_100032000 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GYI6] | location=CAJZCX010000005:1262528-1264777(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 2259at5820           -            765   5.3e-23   79.6  22.9   1   5     3e-12   3.3e-10   37.3   1.0   134   265  1928  2069  1885  2082 0.79 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 2259at5820           -            765   5.3e-23   79.6  22.9   2   5   0.00069     0.075    9.7   0.4   394   453  2212  2277  2189  2321 0.68 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 2259at5820           -            765   5.3e-23   79.6  22.9   3   5    0.0021      0.23    8.1   2.8    18    93  2329  2407  2312  2414 0.77 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 2259at5820           -            765   5.3e-23   79.6  22.9   4   5     0.023       2.5    4.6   0.0   439   476  2439  2478  2423  2499 0.82 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476027.1         -           3341 2259at5820           -            765   5.3e-23   79.6  22.9   5   5   4.6e-10     5e-08   30.1   0.1   115   235  3050  3180  2962  3192 0.83 | transcript=PVW1_130037900_t1 | gene=PVW1_130037900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1416957-1428001(-) | protein_length=3341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473855.1         -            377 2259at5820           -            765   8.1e-23   79.0   1.0   1   1   9.8e-25   1.1e-22   78.6   1.0   524   704    77   278    59   312 0.75 | transcript=PVW1_120071800_t1 | gene=PVW1_120071800 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H261] | location=CAJZCX010000004:2806800-2809451(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482791.1         -           2121 2259at5820           -            765     2e-22   77.7   0.2   1   1   2.8e-24     3e-22   77.1   0.2   512   674  1716  1899  1692  1914 0.75 | transcript=PVW1_040028500_t1 | gene=PVW1_040028500 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:973804-980169(+) | protein_length=2121 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9483450.1         -            310 2259at5820           -            765   6.9e-22   75.9   0.7   1   1   7.7e-24   8.3e-22   75.7   0.7   514   715    33   248     6   266 0.78 | transcript=PVW1_030022100_t1 | gene=PVW1_030022100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H7S6] | location=CAJZCX010000014:775312-777159(+) | protein_length=310 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 2259at5820           -            765   2.7e-21   74.0   0.8   1   2   9.7e-14     1e-11   42.3   0.5   541   626    95   186    25   196 0.80 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476861.1         -            561 2259at5820           -            765   2.7e-21   74.0   0.8   2   2   6.1e-10   6.7e-08   29.7   0.0   625   718   340   431   323   446 0.91 | transcript=PVW1_090027100_t1 | gene=PVW1_090027100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXM9] | location=CAJZCX010000007:990790-992475(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477699.1         -           4000 2259at5820           -            765     3e-20   70.5   0.3   1   1   4.5e-22   4.9e-20   69.8   0.3   541   717  1243  1429  1186  1448 0.79 | transcript=PVW1_110020600_t1 | gene=PVW1_110020600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000008:667058-679060(-) | protein_length=4000 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471965.1         -            368 2259at5820           -            765   1.4e-18   65.0   3.5   1   1   2.8e-20   3.1e-18   63.9   3.5   493   712   100   346    67   355 0.73 | transcript=PVW1_140022300_t1 | gene=PVW1_140022300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK53] | location=CAJZCX010000003:767187-768293(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 2259at5820           -            765   3.7e-18   63.6   0.3   1   2       3.6   3.9e+02   -2.6   0.0   506   527    14    35    11    50 0.71 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473309.1         -            305 2259at5820           -            765   3.7e-18   63.6   0.3   2   2   6.5e-20   7.1e-18   62.7   0.1   574   694   115   240    93   249 0.86 | transcript=PVW1_120032100_t1 | gene=PVW1_120032100 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HGH9] | location=CAJZCX010000004:1203388-1205498(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473995.1         -           2433 2259at5820           -            765     1e-17   62.2   0.5   1   1   4.4e-19   4.8e-17   59.9   0.5   534   709   169   379   125   392 0.78 | transcript=PVW1_120080600_t1 | gene=PVW1_120080600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000004:3191638-3199719(-) | protein_length=2433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477698.1         -            288 2259at5820           -            765   7.5e-17   59.3   0.0   1   1   8.8e-19   9.6e-17   58.9   0.0   574   686    97   218     8   230 0.79 | transcript=PVW1_110020500_t1 | gene=PVW1_110020500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GZL0] | location=CAJZCX010000008:664005-665737(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473946.1         -            877 2259at5820           -            765   1.6e-16   58.2   2.5   1   2   1.6e-07   1.8e-05   21.7   1.1   505   615   552   686   542   696 0.68 | transcript=PVW1_120076500_t1 | gene=PVW1_120076500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | location=CAJZCX010000004:3009585-3012218(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9473946.1         -            877 2259at5820           -            765   1.6e-16   58.2   2.5   2   2   1.1e-11   1.1e-09   35.5   0.0   602   683   698   783   687   830 0.81 | transcript=PVW1_120076500_t1 | gene=PVW1_120076500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HHR9] | location=CAJZCX010000004:3009585-3012218(+) | protein_length=877 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479224.1         -            488 2259at5820           -            765   1.8e-16   58.0   0.2   1   1   5.7e-18   6.2e-16   56.2   0.2   573   685   211   331    85   349 0.87 | transcript=PVW1_080033400_t1 | gene=PVW1_080033400 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GWS8] | location=CAJZCX010000009:1260295-1262736(+) | protein_length=488 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 2259at5820           -            765   1.2e-15   55.3   0.1   1   2       2.4   2.6e+02   -2.0   0.1   600   606    83    89    16   129 0.46 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482504.1         -            344 2259at5820           -            765   1.2e-15   55.3   0.1   2   2   2.6e-17   2.9e-15   54.0   0.0   584   693   154   269   145   279 0.87 | transcript=PVW1_040017700_t1 | gene=PVW1_040017700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000013:562218-563813(-) | protein_length=344 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 2259at5820           -            765   9.6e-15   52.3   0.9   1   2     0.079       8.6    2.9   0.1   485   530    13    59     5    98 0.69 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471974.1         -            341 2259at5820           -            765   9.6e-15   52.3   0.9   2   2   1.4e-15   1.5e-13   48.3   0.1   585   678   143   246   131   292 0.75 | transcript=PVW1_140023200_t1 | gene=PVW1_140023200 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4K3] | location=CAJZCX010000003:799856-802773(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9482560.1         -           1029 2259at5820           -            765   1.2e-14   51.9   0.1   1   1   1.7e-16   1.8e-14   51.4   0.1   531   672   813   965   795   978 0.83 | transcript=PVW1_040019500_t1 | gene=PVW1_040019500 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H864] | location=CAJZCX010000013:629604-632693(-) | protein_length=1029 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476644.1         -            335 2259at5820           -            765   3.2e-14   50.6   1.6   1   1   3.7e-16     4e-14   50.3   1.6   507   686    49   253    20   270 0.74 | transcript=PVW1_090014300_t1 | gene=PVW1_090014300 | organism=Plasmodium_vivax_PvW1 | gene_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | transcript_product=Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCF9] | location=CAJZCX010000007:499846-500853(+) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 2259at5820           -            765   4.5e-14   50.1   1.1   1   2   1.5e-08   1.6e-06   25.1   0.4   551   611   337   400   292   414 0.77 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476566.1         -           1272 2259at5820           -            765   4.5e-14   50.1   1.1   2   2   4.8e-08   5.2e-06   23.4   0.0   625   671   526   574   520   631 0.74 | transcript=PVW1_090010800_t1 | gene=PVW1_090010800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000007:342408-346226(+) | protein_length=1272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475709.1         -            722 2259at5820           -            765   4.7e-14   50.0   0.2   1   1   6.2e-16   6.8e-14   49.5   0.2   540   685    75   239    18   257 0.78 | transcript=PVW1_130025000_t1 | gene=PVW1_130025000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:917366-919534(+) | protein_length=722 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479945.1         -            612 2259at5820           -            765   9.5e-14   49.0   0.2   1   1   1.2e-15   1.3e-13   48.5   0.2   574   681   365   481   271   519 0.81 | transcript=PVW1_050032400_t1 | gene=PVW1_050032400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1143440-1145278(-) | protein_length=612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478192.1         -            354 2259at5820           -            765   1.7e-13   48.1   0.0   1   1   2.2e-15   2.4e-13   47.7   0.0   526   681    73   250    36   272 0.77 | transcript=PVW1_110049500_t1 | gene=PVW1_110049500 | organism=Plasmodium_vivax_PvW1 | gene_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | transcript_product=Aurora kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4H0I7] | location=CAJZCX010000008:1882409-1883946(-) | protein_length=354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476699.1         -            575 2259at5820           -            765   5.9e-13   46.4   1.8   1   2   2.9e-11   3.2e-09   34.1   3.1   493   625   164   321   152   326 0.64 | transcript=PVW1_090019200_t1 | gene=PVW1_090019200 | organism=Plasmodium_vivax_PvW1 | gene_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | transcript_product=Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1G4HCJ0] | location=CAJZCX010000007:678903-680630(-) | protein_length=575 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
